"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.405600000E-2,-2.854925990E-1,-3.010922074E-1,-3.329490870E-2
2.353388333E-1,-2.089744508E-1,-9.749079123E-3,-9.878383577E-2
4.366218333E-1,-1.058341488E-1,-4.990614355E-1,4.914386570E-2
6.379058333E-1,-4.163246751E-1,-6.193825006E-1,2.033378631E-1
8.391888333E-1,-1.895849258E-1,-5.352530479E-1,-1.291703582E-1
1.040471833E0,3.564932197E-2,-3.188824356E-1,-1.296613514E-1
1.241755208E0,2.649946213E-1,-1.804409325E-1,-2.072767541E-2
1.443038208E0,6.005069707E-3,-1.091916040E-1,-6.838422269E-5
1.644322208E0,6.456444860E-1,1.186115444E-1,-4.351882339E-1
1.845605208E0,5.598410368E-1,3.688209057E-1,-1.794254929E-1
2.046888208E0,3.920726776E-1,-2.891698480E-2,4.025701061E-2
2.248170208E0,5.041822195E-1,-2.443404943E-1,4.886159003E-1
2.449453208E0,7.549542785E-1,-5.753190722E-3,5.544337630E-2
2.650736208E0,2.251544148E-1,1.739346683E-1,1.549665183E-1
2.852019208E0,-8.981414139E-2,1.616879180E-2,3.651106358E-1
3.053303208E0,-1.152687967E-1,1.581205577E-1,3.339925110E-1
3.254587083E0,4.687936604E-2,3.799125850E-1,4.788745940E-1
3.455870083E0,-1.265842319E-1,4.932187200E-1,7.928022742E-1
3.657153083E0,-1.529256105E-1,4.420444071E-1,4.696261585E-1
3.858436083E0,-7.798653841E-2,-2.280280739E-2,-8.822056465E-3
4.059719083E0,2.468080260E-3,-3.207293749E-1,-2.365932614E-1
4.261002583E0,6.382243335E-2,-3.361526430E-1,-4.393019378E-1
4.462285583E0,1.259282790E-2,-1.008507535E-1,-4.806262851E-1
4.663568583E0,-1.363497823E-1,-2.559642792E-1,-3.734815419E-1
4.864851583E0,-4.687461555E-1,-6.930816174E-1,-2.060422301E-1
5.066135583E0,-1.438272297E-1,-3.467916548E-1,-3.583206236E-1
5.267418208E0,-5.454991478E-3,5.167585798E-3,-2.720853686E-1
5.468702208E0,-1.601324789E-2,-3.443770409E-1,-2.438530475E-1
5.669985208E0,-3.092014492E-1,-1.099785566E-1,-2.585445344E-1
5.871269208E0,5.012520403E-2,9.250710160E-2,-3.852238059E-1
6.072552208E0,-1.578061581E-1,3.498495743E-2,-2.932240814E-2
6.273836708E0,-1.526241601E-1,3.756962717E-1,-1.419311464E-1
6.475119708E0,-4.865002334E-1,3.423510492E-2,1.060855612E-1
6.676403708E0,-4.293574691E-1,-4.029392600E-1,4.787839949E-2
6.877687708E0,-3.968462348E-1,-5.350229740E-1,2.421146929E-1
7.078970708E0,-2.670961022E-1,-2.598009109E-1,-2.096609958E-2
7.280254083E0,-3.647722304E-2,2.227082476E-2,-1.838937402E-1
7.481538083E0,2.092394382E-1,1.379836053E-1,-8.527161926E-2
7.682822083E0,5.057010055E-1,2.175011784E-1,-2.889546454E-1
7.884105083E0,8.243552446E-1,1.153217182E-1,-1.547159702E-1
8.085389083E0,4.682012200E-1,2.800105810E-1,-5.788747668E-1
8.286673583E0,-1.628456265E-1,-2.202325761E-1,1.705025882E-1
8.487957583E0,8.169427514E-2,-3.360547423E-1,2.103586346E-1
8.689240583E0,-8.616044372E-2,-2.201325148E-1,-2.752618678E-2
8.890524583E0,-5.455327630E-1,3.251807690E-1,3.031494468E-2
9.091808583E0,5.836720467E-1,-1.834402680E-1,-1.020073965E-1
9.293092625E0,3.641674519E-1,-9.691429138E-2,-2.663470805E-1
9.494375625E0,-1.740088612E-1,4.897111058E-1,-1.538843811E-1
9.695659625E0,-6.220384240E-1,7.371495962E-1,1.503075063E-1
9.896942625E0,-8.271800876E-1,6.564838290E-1,3.648645580E-1
1.009822663E1,-6.085824966E-1,-7.503642887E-2,2.723238766E-1
1.029951058E1,-2.614364624E-1,-7.044339180E-1,2.403401583E-1
1.050079458E1,-3.184876442E-1,1.119807124E0,4.744972885E-1
1.070207958E1,1.188378632E-1,5.781040788E-1,-2.446807362E-2
1.090336358E1,5.843456984E-1,1.804010719E-1,-1.344266087E-1
1.110464758E1,4.197002053E-1,-5.240346789E-1,-5.343459919E-2
1.130593196E1,4.304161370E-1,-1.920534968E-1,-3.804913908E-2
1.150721596E1,7.320128679E-1,-5.184467435E-1,-3.848590851E-1
1.170849996E1,3.799484968E-1,-4.237443209E-2,-4.534760714E-1
1.190978496E1,1.221032739E-1,5.811415315E-1,3.477263749E-1
1.211106896E1,3.850036301E-3,9.208334088E-1,6.184251308E-1
1.231235358E1,2.744169831E-1,-1.470810920E-1,1.624509543E-1
1.251363758E1,1.909402013E-1,-4.108486325E-2,1.787003875E-1
1.271492258E1,3.019526601E-1,-3.334555775E-2,2.516608238E-1
1.291620658E1,-8.476386964E-2,-1.320137084E-1,4.789952189E-2
1.311749158E1,1.378676295E-1,-5.217453241E-1,-1.590065062E-1
1.331877596E1,2.872023880E-1,-2.959528863E-1,-2.433572114E-1
1.352005996E1,2.438036352E-1,9.919476509E-2,-3.704594374E-1
1.372134496E1,4.735852778E-1,-9.256155044E-2,-3.890526891E-1
1.392262896E1,-5.918446183E-1,8.899099380E-2,-4.032384157E-1
1.412391421E1,-7.030400038E-1,6.426952481E-1,-8.067967296E-1
1.432519821E1,-5.390424132E-1,4.757997096E-1,-1.447962970E-1
1.452648321E1,-2.439836413E-1,3.462718129E-1,-1.986936629E-1
1.472776721E1,-1.164525300E-1,-2.370800674E-1,3.250572383E-1
1.492905221E1,-4.232526571E-2,-5.287525654E-1,2.180346698E-1
1.513033646E1,1.439753622E-1,-8.525385857E-1,2.798067033E-1
1.533162146E1,3.305433691E-1,-8.044703007E-1,1.106363721E-2
1.553290546E1,2.120652795E-1,2.172632962E-1,-4.073691666E-1
1.573419046E1,5.571420789E-1,4.813781083E-1,-3.412268460E-1
1.593547546E1,4.377093539E-2,-7.156497985E-2,-1.386265308E-1
1.613675921E1,7.324519753E-2,-9.387680888E-2,-1.261857525E-2
1.633804421E1,-3.089626133E-1,-3.983752131E-1,-2.323615402E-1
