"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686148591299466E9,"2023-06-07 16:36:31.299 UTC+02:00"
"PAUSE",1.212337966666673E2,1.686148712531238E9,"2023-06-07 16:38:32.531 UTC+02:00"
