"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686746274342782E9,"2023-06-14 14:37:54.343 UTC+02:00"
"PAUSE",1.181093557499989E2,1.686746392411392E9,"2023-06-14 14:39:52.411 UTC+02:00"
