"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686140790106827E9,"2023-06-07 14:26:30.107 UTC+02:00"
"PAUSE",1.145713620833121E2,1.686140904676998E9,"2023-06-07 14:28:24.677 UTC+02:00"
