"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686740903211451E9,"2023-06-14 13:08:23.211 UTC+02:00"
"PAUSE",1.349870804583334E2,1.686741038207920E9,"2023-06-14 13:10:38.208 UTC+02:00"
