"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686137843657622E9,"2023-06-07 13:37:23.658 UTC+02:00"
"PAUSE",1.545932099583151E2,1.686137998248249E9,"2023-06-07 13:39:58.248 UTC+02:00"
