"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686755514156581E9,"2023-06-14 17:11:54.157 UTC+02:00"
"PAUSE",8.252244641665311E1,1.686755596678590E9,"2023-06-14 17:13:16.679 UTC+02:00"
