"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686746794743626E9,"2023-06-14 14:46:34.744 UTC+02:00"
"PAUSE",5.192958594999945E2,1.686747314032848E9,"2023-06-14 14:55:14.033 UTC+02:00"
