"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686756610424598E9,"2023-06-14 17:30:10.425 UTC+02:00"
"PAUSE",3.519442404166330E1,1.686756645618834E9,"2023-06-14 17:30:45.619 UTC+02:00"
