"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686153513460669E9,"2023-06-07 17:58:33.461 UTC+02:00"
"PAUSE",2.852310832499934E2,1.686153798690415E9,"2023-06-07 18:03:18.690 UTC+02:00"
