"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.648654166E-1,8.115479243E-1,3.428994370E-1,4.700699455E-1
3.661754167E-1,1.575243113E0,1.642319155E0,-9.463736075E-1
5.674865000E-1,5.112863839E-1,3.963622838E-1,-2.048316481E0
7.687965000E-1,-5.647357821E-1,5.987379259E-1,-6.072929871E-1
9.701075000E-1,-7.527237654E-1,6.733489823E-1,1.240734723E0
1.171417500E0,2.074245374E0,-1.378984535E0,-1.740955836E-1
1.372727500E0,-1.563372973E0,-1.410089968E0,9.383216992E-1
1.574037875E0,2.683894204E0,2.407440187E0,-9.573470771E-1
1.775347875E0,-1.731769860E-2,-2.208306241E-1,-2.209355816E-1
1.976658875E0,1.548196524E-1,2.007197106E-1,-4.661604971E-2
2.177968875E0,4.222321200E-1,3.023139131E-1,-1.106644034E-2
2.379278875E0,1.923276113E0,-8.489712739E-1,-9.649993283E-1
2.580588667E0,-3.960682274E0,1.860314464E0,1.487301866E0
2.781898667E0,-7.952230829E-1,5.581114715E-1,-6.515675193E-1
2.983208667E0,-9.857730237E-1,-9.377548116E-1,-2.534727055E-1
3.184518667E0,5.860083912E-1,-3.942988014E-1,-7.719796698E-1
3.385828667E0,-7.395201677E-1,2.080497801E-2,5.059252180E-2
3.587138125E0,8.105261233E-1,-9.881794453E-1,-1.445844523E0
3.788448125E0,1.075047874E-1,-3.428263468E-1,-7.487054126E-1
3.989758125E0,-1.106720121E0,1.631868426E0,-3.149017990E-3
4.191068125E0,-1.253962294E0,2.231353042E0,-6.460106179E-1
4.392377125E0,-4.733087182E-1,-5.991624337E-1,3.218450752E-1
4.593686750E0,-6.719181687E-1,6.570937228E-1,-8.166887963E-1
4.794995750E0,2.868283226E0,-9.034942210E-2,5.451163271E-1
4.996304750E0,-9.816627234E-1,1.380062177E0,-6.807258296E-1
5.197614750E0,-2.577888277E-1,7.372859466E-1,-2.927934766E-1
5.398923750E0,-2.362672734E-1,-1.572088832E0,6.921197140E-1
5.600232625E0,-8.026917315E-1,-4.790378201E-1,-1.567656058E-1
5.801542625E0,7.960229820E-1,8.453746516E-1,-6.047333685E-1
6.002851625E0,6.830313867E-1,1.830722290E-1,2.568005021E-1
6.204161625E0,-6.332888308E-1,-5.136895895E-1,-5.810366499E-1
6.405470625E0,3.238193876E-1,-3.740569103E-1,-5.584627430E-1
6.606781625E0,-3.060602242E-1,9.786192477E-2,-2.733038297E-1
6.808090625E0,-9.911562628E-1,1.771928537E-1,5.287335983E-1
7.009400625E0,-1.826874822E-1,2.449598612E0,7.816917488E-1
7.210710625E0,-5.596416879E-1,1.364845383E-1,-4.402087998E-1
7.412019625E0,-5.506594875E-1,-5.676383400E-1,-7.126305771E-1
7.613328125E0,4.966489027E-1,-1.866530639E0,-2.996809119E-1
