"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686141284271247E9,"2023-06-07 14:34:44.271 UTC+02:00"
"PAUSE",1.561245325833152E2,1.686141440394523E9,"2023-06-07 14:37:20.395 UTC+02:00"
