"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686755184122726E9,"2023-06-14 17:06:24.123 UTC+02:00"
"PAUSE",7.881328137499804E1,1.686755262935590E9,"2023-06-14 17:07:42.936 UTC+02:00"
