"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686757720002227E9,"2023-06-14 17:48:40.002 UTC+02:00"
"PAUSE",1.186726609583420E2,1.686757838673759E9,"2023-06-14 17:50:38.674 UTC+02:00"
