"Time (s)","Distance (cm)"
4.179249983E-3,5.000000000E0
9.316262292E0,0.000000000E0
1.008552837E1,5.000000000E0
1.052730933E1,0.000000000E0
1.333545692E1,5.000000000E0
1.503460104E1,0.000000000E0
1.838227792E1,5.000000000E0
5.233574254E1,0.000000000E0
5.417997367E1,5.000000000E0
5.576095300E1,0.000000000E0
7.424258442E1,5.000000000E0
7.478370237E1,0.000000000E0
8.371477563E1,5.000000000E0
9.306125838E1,0.000000000E0
9.350180767E1,5.000000000E0
9.951951996E1,0.000000000E0
1.063025313E2,5.000000000E0
