"Time (s)","X (hPa)"
-5.254115833E-1,1.014569168E3
5.068364167E-1,1.014575958E3
1.539007417E0,1.014573822E3
2.571157417E0,1.014581070E3
3.603322417E0,1.014573822E3
4.635518417E0,1.014476547E3
4.774395417E0,1.014460373E3
5.730231417E0,1.014460373E3
6.686021417E0,1.014460373E3
7.641756417E0,1.014385223E3
8.597481417E0,1.014361343E3
9.553195417E0,1.014359207E3
1.050895742E1,1.014348526E3
1.146474642E1,1.014348526E3
1.242057642E1,1.014353561E3
1.337638342E1,1.014379349E3
1.433212442E1,1.014379349E3
1.528793042E1,1.014338608E3
1.624372242E1,1.014305725E3
1.719950742E1,1.014285431E3
1.815524142E1,1.014237595E3
1.911116242E1,1.014237595E3
2.006704242E1,1.014270782E3
2.102298442E1,1.014321976E3
2.197890242E1,1.014321976E3
2.293490042E1,1.014290009E3
2.389087442E1,1.014290009E3
2.484674642E1,1.014295120E3
2.580267342E1,1.014295120E3
2.675867442E1,1.014284286E3
2.771463242E1,1.014284286E3
2.867064242E1,1.014284286E3
2.962667742E1,1.014236221E3
3.058268542E1,1.014204407E3
3.153863842E1,1.014204407E3
3.249460642E1,1.014239044E3
3.345053542E1,1.014239044E3
3.440642542E1,1.014226151E3
3.536231742E1,1.014175568E3
3.631827842E1,1.014170456E3
3.727426542E1,1.014154129E3
3.823030942E1,1.014154129E3
3.918638342E1,1.014225006E3
4.014241642E1,1.014225006E3
4.109847142E1,1.014219131E3
4.205453942E1,1.014153214E3
4.301067742E1,1.014036942E3
4.396683942E1,1.014035492E3
4.492305942E1,1.014035492E3
4.587914442E1,1.014041748E3
4.683529842E1,1.014063339E3
4.779144042E1,1.014075089E3
4.874755042E1,1.014093323E3
4.970365542E1,1.014100189E3
5.065974542E1,1.014115143E3
5.161578542E1,1.014100189E3
5.257178642E1,1.014084015E3
5.352780342E1,1.014053726E3
5.448378442E1,1.014026947E3
5.543983742E1,1.014015198E3
5.639590642E1,1.014015198E3
5.735192942E1,1.014004974E3
5.830801742E1,1.014004974E3
5.926406642E1,1.013989639E3
6.022014742E1,1.013976746E3
6.117627842E1,1.013969498E3
6.213232542E1,1.013916855E3
6.308837042E1,1.013915787E3
6.404446142E1,1.013901138E3
6.500042742E1,1.013877869E3
6.595642842E1,1.013874130E3
6.691240942E1,1.013859406E3
6.786845142E1,1.013859406E3
6.882454442E1,1.013859406E3
6.978059742E1,1.013872604E3
7.073665942E1,1.013885422E3
7.169270242E1,1.013885422E3
7.264875442E1,1.013876648E3
7.360477142E1,1.013865967E3
7.456078642E1,1.013856812E3
7.551683442E1,1.013799667E3
7.647290742E1,1.013793488E3
7.742901342E1,1.013793488E3
7.838514842E1,1.013750992E3
7.934115742E1,1.013745193E3
8.029717442E1,1.013744507E3
8.125326042E1,1.013699799E3
8.220930542E1,1.013699722E3
8.316544842E1,1.013699341E3
8.412158142E1,1.013699341E3
8.507769742E1,1.013698959E3
8.603386742E1,1.013692703E3
8.699002342E1,1.013698959E3
8.794618042E1,1.013722000E3
8.890224642E1,1.013722000E3
8.985828142E1,1.013687973E3
9.081421342E1,1.013652191E3
9.177021442E1,1.013635635E3
9.272623742E1,1.013591537E3
9.368235042E1,1.013591537E3
9.463839642E1,1.013625565E3
9.559443742E1,1.013630524E3
9.655060342E1,1.013625565E3
9.750675442E1,1.013625565E3
9.846294042E1,1.013580856E3
9.941918442E1,1.013580856E3
1.003753704E2,1.013576355E3
1.013315184E2,1.013583069E3
1.022876434E2,1.013591843E3
1.032438544E2,1.013591843E3
1.042000874E2,1.013576355E3
1.051563334E2,1.013568420E3
1.061126354E2,1.013540878E3
1.070689154E2,1.013506088E3
1.080252754E2,1.013506088E3
1.089818114E2,1.013521042E3
1.099386224E2,1.013521042E3
1.108958104E2,1.013512573E3
1.118532224E2,1.013506165E3
1.128108084E2,1.013506165E3
1.137684544E2,1.013521423E3
1.147259734E2,1.013521423E3
1.156833704E2,1.013490677E3
1.166406704E2,1.013458328E3
1.175978234E2,1.013429413E3
1.185548554E2,1.013344650E3
1.195119194E2,1.013344650E3
1.204688894E2,1.013379745E3
1.214257474E2,1.013379745E3
1.223825954E2,1.013361282E3
1.233393564E2,1.013349075E3
1.242960694E2,1.013338623E3
1.252527694E2,1.013289795E3
1.262094444E2,1.013289795E3
1.271660574E2,1.013312225E3
1.281227454E2,1.013321457E3
1.290793034E2,1.013321457E3
1.300359064E2,1.013302002E3
1.309925884E2,1.013300018E3
1.319491734E2,1.013300018E3
1.329057774E2,1.013301392E3
1.338623594E2,1.013333359E3
1.348188824E2,1.013354263E3
1.357754014E2,1.013354263E3
1.367319594E2,1.013346634E3
1.376884864E2,1.013340454E3
1.386450294E2,1.013303299E3
1.396016484E2,1.013269424E3
1.405583674E2,1.013251648E3
1.415149764E2,1.013215408E3
