"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686148095035425E9,"2023-06-07 16:28:15.035 UTC+02:00"
"PAUSE",7.135663799999747E1,1.686148166391931E9,"2023-06-07 16:29:26.392 UTC+02:00"
