Unnamed: 0,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating,snippet
8616,1,114.7303298,2.348315919,0.4302813971,0.5564213338,114.7303298,0.01310582366,-0.09993876517,-0.6298081875,sien,4b,1,0,easy,last_seconds
8617,1,114.9315938,0.7623345414,-0.4414378846,0.3503160453,114.9315938,-0.2182872891,0.1311517358,-0.5753403902,sien,4b,1,0,easy,last_seconds
8618,1,115.132857,-0.3617371193,-0.6619574368,-0.2801307464,115.132857,-0.1695052683,-0.08242937922,-1.02382338,sien,4b,1,0,easy,last_seconds
8619,1,115.33412,-0.7319567943,0.06320372343,-0.4447415614,115.33412,-0.09913213551,-0.2216444016,-0.7436119318,sien,4b,1,0,easy,last_seconds
8620,1,115.535383,-0.5504899183,-0.7812955999,-0.349354763,115.535383,0.08466392756,0.3044908941,-0.09998147935,sien,4b,1,0,easy,last_seconds
8621,1,115.736646,1.093556212,0.5646533364,-0.7823479526,115.736646,0.1343220174,0.9435783625,0.2534560561,sien,4b,1,0,easy,last_seconds
8622,1,115.937909,-0.4233553702,-0.02841395974,0.2541270089,115.937909,0.003748670686,0.9011918902,0.442927599,sien,4b,1,0,easy,last_seconds
8623,1,116.1391726,-0.4041491671,0.02525061607,0.5707359025,116.1391726,0.04304045439,-0.1743794978,0.2404920757,sien,4b,1,0,easy,last_seconds
8624,1,116.3404356,0.0851212804,-0.4703652298,0.2483075675,116.3404356,0.1502188146,-0.518410027,-0.1419720799,sien,4b,1,0,easy,last_seconds
8625,1,116.5416986,-0.2860380422,-0.6338013393,0.5285114041,116.5416986,0.1265838146,-0.3573132753,0.0072822785,sien,4b,1,0,easy,last_seconds
8626,1,116.7429626,0.6801700518,0.2801775241,-0.4495193213,116.7429626,0.03732965887,0.09619871527,0.1534068286,sien,4b,1,0,easy,last_seconds
8627,1,116.9442256,0.1186376667,-0.2119621521,0.3605697227,116.9442256,0.002248751931,-0.1035757959,-0.05215895548,sien,4b,1,0,easy,last_seconds
8628,1,117.1454878,-0.04489302143,-0.1272003293,0.003585220277,117.1454878,0.1456789523,-0.1313393414,0.03204858303,sien,4b,1,0,easy,last_seconds
8629,1,117.3467508,0.4319057536,0.06619866729,-0.1693812659,117.3467508,0.2006326318,-0.0653802827,0.05868314207,sien,4b,1,0,easy,last_seconds
8630,1,117.5480138,-0.5076197411,-0.5316919971,0.7232283631,117.5480138,-0.2225422263,0.1868553013,-0.02341652662,sien,4b,1,0,easy,last_seconds
8631,1,117.7492768,-0.2523246047,-0.2718008029,0.473988457,117.7492768,-0.309913069,0.02641795948,-0.02170810848,sien,4b,1,0,easy,last_seconds
8632,1,117.9505398,0.170237883,-0.2730749112,0.3295794797,117.9505398,-0.3358461261,-0.0785683766,-0.06595733017,sien,4b,1,0,easy,last_seconds
8633,1,118.151803,0.168513393,0.07407486677,-0.5547086844,118.151803,-0.3863851726,-0.2906315625,0.09941526502,sien,4b,1,0,easy,last_seconds
8634,1,118.353066,0.220231723,-0.0881315732,-0.3757068484,118.353066,-0.2264340669,0.01312617213,-0.09703853726,sien,4b,1,0,easy,last_seconds
8635,1,118.55433,0.3910436565,-0.6226220477,0.04074354485,118.55433,-0.3482289016,-0.1322113872,-0.08444234729,sien,4b,1,0,easy,last_seconds
8636,1,118.755593,0.2902397051,-1.433085898,0.2002472556,118.755593,-0.3002585471,0.1467492431,0.1062061787,sien,4b,1,0,easy,last_seconds
8637,1,118.956856,0.1924214883,-0.8164338577,-0.5696205461,118.956856,-0.3573056757,0.4058671594,0.2721168101,sien,4b,1,0,easy,last_seconds
8638,1,119.1581192,0.09647438049,-0.5543359244,-0.8632747328,119.1581192,-0.02890315279,0.6636764407,0.06938795745,sien,4b,1,0,easy,last_seconds
8639,1,119.3593822,-1.739083849,2.629498141,-1.040106229,119.3593822,0.04266792536,0.621039629,0.02208181843,sien,4b,1,0,easy,last_seconds
8640,1,119.5606462,-1.330758747,1.732257518,0.592732872,119.5606462,-0.4521981478,0.2416539192,0.09872879833,sien,4b,1,0,easy,last_seconds
8641,1,119.7619092,0.1667052146,0.2354825771,0.4697647939,119.7619092,-0.2833244503,-0.06746391207,-0.05183953047,sien,4b,1,0,easy,last_seconds
8642,1,119.9631732,0.7974522608,-1.033075536,-1.017880816,119.9631732,0.06809984148,-0.2619192898,0.1076608971,sien,4b,1,0,easy,last_seconds
8643,1,120.1644376,0.7543393511,-0.2780883139,-1.197725601,120.1644376,0.5274164081,-0.2694752514,0.1688988209,sien,4b,1,0,easy,last_seconds
8644,1,120.3657016,-0.1126173369,0.7621026993,0.8014848661,120.3657016,0.07085771859,-0.1750129312,-0.04284538329,sien,4b,1,0,easy,last_seconds
8645,1,120.5669656,-0.5539107953,0.07060279012,0.2555624821,120.5669656,-0.08908325434,0.0486035496,-0.1441181898,sien,4b,1,0,easy,last_seconds
8646,1,120.7682286,-0.4644188673,0.1195878392,0.5241104607,120.7682286,0.00660770433,0.3388618827,0.1910171807,sien,4b,1,0,easy,last_seconds
8647,1,120.9694916,0.6395725411,0.4338002515,-0.00480586309,120.9694916,-0.3209302425,-0.07637249678,0.2730149925,sien,4b,1,0,easy,last_seconds
8648,1,121.170755,0.3344397219,-0.204114604,-0.2306292419,121.170755,-0.5203442574,0.177078113,0.1101420298,sien,4b,1,0,easy,last_seconds
8649,1,121.372018,-0.1379770401,-1.028889515,-1.571352083,121.372018,0.004765267484,-0.001981724286,0.145724684,sien,4b,1,0,easy,last_seconds
8650,1,121.573281,-0.3180379531,0.9453848433,0.263646276,121.573281,0.1958895177,-0.1919652075,0.04854940251,sien,4b,1,0,easy,last_seconds
8651,1,121.774545,0.02730752036,-0.04863655508,0.7213100378,121.774545,-0.01475301012,-0.1192390025,0.05832451582,sien,4b,1,0,easy,last_seconds
8652,1,121.975808,-0.5017233358,-0.8766777205,0.7815831368,121.975808,-0.1184877753,-0.04571812972,-0.1341004521,sien,4b,1,0,easy,last_seconds
8653,1,122.1770712,-1.195475812,-0.2967649055,0.9590591419,122.1770712,-0.3804152906,-0.06371887028,-0.3263168931,sien,4b,1,0,easy,last_seconds
8654,1,122.3783342,1.178351071,-3.190048487,-1.039496949,122.3783342,0.1565125138,0.0709912926,-0.2654685974,sien,4b,1,0,easy,last_seconds
8655,1,122.5795982,0.04488677222,-1.552296007,-2.138419296,122.5795982,0.1879756302,-0.2299236953,-0.1421805024,sien,4b,1,0,easy,last_seconds
8656,1,122.7808612,-0.5584219587,-0.5293917024,-1.026355332,122.7808612,0.3173205853,0.1026595011,-0.2192067206,sien,4b,1,0,easy,last_seconds
8657,1,122.9821252,-1.701563728,4.674461244,3.043145964,122.9821252,-0.6760697365,0.2402327359,-0.2893244028,sien,4b,1,0,easy,last_seconds
8658,1,123.1833892,-0.4434395327,-2.760664052,-0.3199382982,123.1833892,-0.1510246545,0.06660172343,-0.04904548079,sien,4b,1,0,easy,last_seconds
8659,1,123.3846532,0.8328304736,0.3041207027,-1.776011355,123.3846532,0.5334346294,0.09887584299,0.4542712271,sien,4b,1,0,easy,last_seconds
8660,1,123.5859162,1.162070742,-1.302261465,-2.103754224,123.5859162,0.05687162653,-0.1301718354,-0.1221636087,sien,4b,1,0,easy,last_seconds
8661,1,123.7871792,0.9316342387,-0.2971759647,-0.5110969341,123.7871792,0.4685661495,0.2522086799,0.001618108014,sien,4b,1,0,easy,last_seconds
8662,1,123.9884422,-0.9110627107,2.792507989,3.763211861,123.9884422,-0.2470208406,-0.1251309365,-0.1503662318,sien,4b,1,0,easy,last_seconds
8663,1,124.1897056,0.9525919752,-0.2060687435,1.522314117,124.1897056,-0.429777801,-0.2789708674,-0.1002059579,sien,4b,1,0,easy,last_seconds
8664,1,124.3909686,0.1783533798,-1.60235402,0.7600605592,124.3909686,-0.2561073601,0.01366984658,0.1468881071,sien,4b,1,0,easy,last_seconds
8665,1,124.5922326,0.8205348024,-0.4676065135,-2.199832456,124.5922326,0.3037656844,0.2768337727,0.1179256886,sien,4b,1,0,easy,last_seconds
8666,1,124.7934956,1.17978934,-0.3403026885,-2.16052528,124.7934956,0.2306977212,0.1646286398,0.1768642515,sien,4b,1,0,easy,last_seconds
8667,1,124.9947586,0.1442964184,-0.7316580015,-1.992585499,124.9947586,-0.03608188406,-0.321718961,-0.1948770881,sien,4b,1,0,easy,last_seconds
8668,1,125.1960206,1.280795313,0.6530608982,-1.475857988,125.1960206,0.4425698221,0.3136610389,-0.05921448022,sien,4b,1,0,easy,last_seconds
8669,1,125.3972836,-0.3371915312,0.1691061544,0.2374260454,125.3972836,0.3874335587,0.1657508016,0.1495378464,sien,4b,1,0,easy,last_seconds
8670,1,125.5985466,-0.9952974071,-0.4980354238,4.372413671,125.5985466,-0.2161925882,-0.04447863251,0.03706320375,sien,4b,1,0,easy,last_seconds
8671,1,125.7998096,-2.253043434,-0.7427981168,3.25983062,125.7998096,-0.5777314901,-0.06052289158,-0.131714493,sien,4b,1,0,easy,last_seconds
8672,1,126.0010726,1.997962598,-1.539527442,-1.776166599,126.0010726,0.4221722782,0.3461963534,0.08014385402,sien,4b,1,0,easy,last_seconds
8673,1,126.2023362,-0.01761298299,-1.410652471,-1.996154054,126.2023362,0.4328568578,-0.2434079647,0.01948426105,sien,4b,1,0,easy,last_seconds
8674,1,126.4035992,0.4198102033,-0.06244066179,-0.8584308994,126.4035992,-0.1234960929,-0.671200633,-0.5455055237,sien,4b,1,0,easy,last_seconds
8675,1,126.6048622,0.9221249118,1.297847986,-1.019905268,126.6048622,0.05000217259,0.09657437354,-0.2214359343,sien,4b,1,0,easy,last_seconds
8676,1,126.8061242,-0.4904366747,0.7774937403,-1.018739041,126.8061242,0.02333720401,-0.1775736511,0.2195860445,sien,4b,1,0,easy,last_seconds
