,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating,outdoor
35,35,7.05824425,-0.1003832442,-0.1685804898,0.5904734713,7.05824425,0.33658427,-0.2686151862,0.08476865292,sien,5b+,2,1,medium,0
36,35,7.25954825,-0.6563061029,-0.2205125356,-1.377481216,7.25954825,0.1101826653,-0.2430406511,-0.2731827199,sien,5b+,2,1,medium,0
37,35,7.46085225,0.2974846977,0.7508649355,0.16490493,7.46085225,-0.05320766941,-0.2604882419,-0.03711768612,sien,5b+,2,1,medium,0
38,35,7.66215775,-0.8494285262,-0.1002165985,0.2306299728,7.66215775,0.2745756209,-0.3520873487,-0.06498625875,sien,5b+,2,1,medium,0
39,35,7.86346175,-0.5281509233,0.7814254081,-0.2623341608,7.86346175,0.2983566523,-0.3066834807,-0.1431836188,sien,5b+,2,1,medium,0
40,35,8.06476575,0.9164586675,-0.5046018469,-0.1877190113,8.06476575,0.1137681603,0.02494663186,0.005965115502,sien,5b+,2,1,medium,0
41,35,8.26606975,0.7504749262,-0.7617349094,-0.2681375223,8.26606975,0.02345714718,0.04747735709,0.2032035887,sien,5b+,2,1,medium,0
42,35,8.46737375,-0.2874421048,0.3474754679,-0.650133782,8.46737375,0.03079515323,-0.01760884374,0.07470530272,sien,5b+,2,1,medium,0
43,35,8.66867725,-0.2475295955,-0.3134604603,-0.0003455704451,8.66867725,0.4572919309,-0.1216449887,-0.02689231373,sien,5b+,2,1,medium,0
44,35,8.86998225,-0.06816157758,-0.6830454201,-0.9152558953,8.86998225,0.3346357644,0.1315156519,0.1223220229,sien,5b+,2,1,medium,0
45,35,9.07128625,-0.7178322601,1.007025898,-0.6149662882,9.07128625,0.5706902742,-0.8289313316,-0.4779780209,sien,5b+,2,1,medium,0
46,35,9.27259025,3.542742594,1.051956196,1.652705564,9.27259025,-0.1162982434,0.3427141905,0.07868685573,sien,5b+,2,1,medium,0
47,35,9.47389425,-0.5739369607,0.4438445985,-0.2005752844,9.47389425,-0.7089114189,0.1853570938,0.6184580326,sien,5b+,2,1,medium,0
48,35,9.675198792,-1.945238255,0.5722991556,-0.6452349848,9.675198792,-0.06790187955,0.01435403712,0.5659930706,sien,5b+,2,1,medium,0
49,35,9.876503792,-2.703435599,-2.001178567,-0.7576634932,9.876503792,-0.5891649723,0.7540533543,0.4230850637,sien,5b+,2,1,medium,0
50,35,10.07780779,-1.860554785,-1.290091655,-0.5240724903,10.07780779,0.07029882073,-0.2109539211,0.4210264087,sien,5b+,2,1,medium,0
51,35,10.27911179,0.9808359271,0.4818795669,-0.1158315879,10.27911179,0.1395591497,-0.1165230721,-0.08781448752,sien,5b+,2,1,medium,0
52,35,10.48041579,1.651149327,2.508692912,0.1215928495,10.48041579,0.1641447842,-0.05683910102,0.1871695817,sien,5b+,2,1,medium,0
53,35,10.68171975,-0.03930147529,1.393907214,-0.6970161724,10.68171975,0.2603654861,0.6103715301,0.331682384,sien,5b+,2,1,medium,0
54,35,10.88302375,-0.3591266298,-1.070779552,-0.9656325817,10.88302375,0.03834130988,1.612720251,0.7627522349,sien,5b+,2,1,medium,0
55,35,11.08432775,-4.622219296,-2.819123345,0.5241426569,11.08432775,-0.1962224394,0.8287984729,0.4764771163,sien,5b+,2,1,medium,0
56,35,11.28563175,1.6798039,1.587541854,-0.3148392338,11.28563175,-0.1984596252,-0.107223846,-0.1226020232,sien,5b+,2,1,medium,0
57,35,11.48693575,0.6624740383,-0.8065047008,-0.3272230518,11.48693575,-0.3650574088,0.2489710152,-0.001544315834,sien,5b+,2,1,medium,0
58,35,11.68824062,1.095635189,0.1990251875,0.06983154237,11.68824062,-0.3502200246,-0.08938394487,0.02214941196,sien,5b+,2,1,medium,0
59,35,11.88954462,0.4063525441,0.4234693909,0.008657972217,11.88954462,-0.0711029321,-0.2556414008,-0.04052183777,sien,5b+,2,1,medium,0
60,35,12.09084862,0.3552829626,-0.3856554472,-0.3307910228,12.09084862,-0.02391669154,-0.2573577762,-0.02633030713,sien,5b+,2,1,medium,0
61,35,12.29215262,-0.1300584483,-0.1660252565,-0.5768757713,12.29215262,0.05092479289,-0.05065226182,-0.105997704,sien,5b+,2,1,medium,0
62,35,12.49345663,-0.2701600742,0.4653483188,0.3205665815,12.49345663,0.01179472171,0.06247280538,0.1302887648,sien,5b+,2,1,medium,0
63,35,12.69476025,0.5257219899,0.3327644581,-0.06158813775,12.69476025,0.2282250375,0.08022171259,-0.06264898926,sien,5b+,2,1,medium,0
64,35,12.89606425,0.1763841838,-0.2605472517,-0.1951473141,12.89606425,0.5663484335,-0.1737692505,0.07096785307,sien,5b+,2,1,medium,0
65,35,13.09736925,0.3076047662,0.1861595589,0.3094621342,13.09736925,0.6335930228,-0.2659853101,0.2512540519,sien,5b+,2,1,medium,0
66,35,13.29867325,-0.6629497093,-0.2614605868,-0.9631603789,13.29867325,0.4380218387,-0.1258211285,-0.1782631278,sien,5b+,2,1,medium,0
67,35,13.49997725,-5.417899631,-0.3173751712,2.721408185,13.49997725,-0.1854749322,-0.5085594654,-0.4569984674,sien,5b+,2,1,medium,0
68,35,13.70128088,-0.3107318571,0.3675723481,-0.4138828808,13.70128088,-0.5544854403,0.1789010018,-0.2155498862,sien,5b+,2,1,medium,0
69,35,13.90258587,0.2941769278,-0.8772811532,0.4189471543,13.90258587,-0.781848371,-0.1822746247,0.05980481207,sien,5b+,2,1,medium,0
