"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686138828058299E9,"2023-06-07 13:53:48.058 UTC+02:00"
"PAUSE",1.814044733333285E2,1.686139009459742E9,"2023-06-07 13:56:49.460 UTC+02:00"
