"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686744169667956E9,"2023-06-14 14:02:49.668 UTC+02:00"
"PAUSE",4.902945801250025E2,1.686744659959923E9,"2023-06-14 14:10:59.960 UTC+02:00"
