"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686152929732272E9,"2023-06-07 17:48:49.732 UTC+02:00"
"PAUSE",9.442317537497729E1,1.686153024155117E9,"2023-06-07 17:50:24.155 UTC+02:00"
