"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686142249762457E9,"2023-06-07 14:50:49.762 UTC+02:00"
"PAUSE",2.259520371666586E2,1.686142475712676E9,"2023-06-07 14:54:35.713 UTC+02:00"
