"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686137315605553E9,"2023-06-07 13:28:35.606 UTC+02:00"
"PAUSE",1.060653312916693E2,1.686137421669151E9,"2023-06-07 13:30:21.669 UTC+02:00"
