"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686151663892453E9,"2023-06-07 17:27:43.892 UTC+02:00"
"PAUSE",1.546368314166612E2,1.686151818528892E9,"2023-06-07 17:30:18.529 UTC+02:00"
