"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.742561183E1,-2.277953923E-2,4.156508297E-2,-2.115337253E-1
1.762692308E1,-1.513770223E-1,-2.092699260E-1,-2.353683300E-2
1.782823408E1,9.009495378E-2,-4.223449156E-2,1.180490553E-1
1.802954508E1,5.632008612E-2,-1.091564074E-2,9.972464293E-2
1.823085708E1,9.790524095E-2,-6.184081733E-2,2.403324693E-1
1.843216808E1,-8.415869623E-2,2.032315880E-1,6.057953089E-2
1.863347933E1,2.652301490E-1,-8.831790090E-2,6.420627236E-2
1.883479133E1,1.139921322E-1,-1.438787133E-1,-8.918321133E-2
1.903610233E1,1.843513250E-1,-7.298363745E-2,1.948382258E-1
1.923741433E1,1.133032739E-1,-2.482565343E-1,1.655090749E-1
1.943872633E1,-6.282244623E-2,-1.834433340E-2,2.420225888E-1
1.964003733E1,-1.229023188E-1,9.041193873E-2,-3.690011054E-2
1.984134933E1,-3.723394498E-2,3.297050018E-3,2.758829668E-2
2.004266133E1,-8.184748888E-2,1.196646690E-1,-1.535535306E-1
2.024397333E1,-5.578732118E-2,1.551426202E-1,-4.729172681E-3
2.044528533E1,5.833929405E-2,-1.236328296E-2,9.141331166E-2
2.064659808E1,-7.897868752E-3,-8.012750186E-3,7.326978445E-2
2.084791108E1,1.179797724E-1,-1.465654969E-1,5.245137960E-2
2.104922308E1,1.516905986E-2,-1.102299318E-1,1.001592129E-1
2.125053508E1,5.521323159E-2,1.133370772E-2,3.267388791E-2
2.145184808E1,1.255427487E-4,-8.740623295E-2,9.190196171E-3
2.165315975E1,1.023056507E-1,-1.384096593E-2,1.120550334E-1
2.185447275E1,4.084857702E-1,-1.987826824E-1,5.388237834E-1
2.205578575E1,1.690276712E-1,-6.824530661E-2,3.535176814E-1
2.225709875E1,-1.294769943E-1,1.119465679E-1,3.371646628E-3
2.245841075E1,-1.117362976E-1,1.230947450E-1,8.345110342E-3
2.265972337E1,1.490452588E-1,-1.392393559E-1,5.726678297E-2
2.286103737E1,2.154729329E-2,-3.210030794E-1,2.303903848E-1
2.306235037E1,-2.795995176E-1,-3.250557780E-1,5.019972101E-2
2.326366337E1,-2.739407718E-1,8.314082772E-2,-2.540065646E-1
2.346497638E1,-2.904407084E-1,1.643498614E-2,-2.390832156E-1
2.366629083E1,-4.166029394E-1,-1.016578376E-1,-3.098345399E-1
2.386760383E1,-6.263417006E-2,6.189008430E-2,-1.610882878E-1
2.406891683E1,-6.924117357E-2,7.207149267E-2,-8.510129899E-2
2.427022983E1,-1.941591948E-1,-2.458198071E-1,-3.554747701E-1
2.447154283E1,-1.593336314E-1,5.581895635E-2,-2.625179887E-1
2.467285588E1,1.184141338E-1,7.154559344E-2,-1.021676585E-1
2.487416987E1,-2.251223773E-1,-8.225485086E-1,-4.856092930E-1
2.507548287E1,-7.033929229E-2,2.495344132E-1,-2.149696648E-1
2.527679588E1,-6.056248769E-2,6.211971641E-1,2.184745967E-1
2.547810888E1,-3.751691058E-2,-4.556982219E-1,-9.830841422E-2
2.567942183E1,-2.029141784E-1,-2.130487412E-1,-1.492760479E-1
2.588073583E1,-1.357125491E-1,-2.786313295E-1,-3.175135851E-1
2.608204883E1,-3.154725432E-1,-2.644590139E-1,-2.761051655E-1
2.628336183E1,5.360693336E-1,-4.541057050E-1,-2.351846397E-1
2.648467583E1,4.369363487E-1,-2.144048214E-1,-1.995881945E-1
2.668598875E1,4.037466943E-1,-3.327324986E-2,-1.022506505E-2
2.688730175E1,1.512603611E-1,-2.081657052E-1,-1.246687770E-2
2.708861475E1,1.833499521E-1,1.518085152E-1,-3.533702493E-1
2.728992875E1,1.725352705E-1,2.424473912E-1,-3.636300564E-1
2.749124175E1,4.682758078E-2,-1.378792226E-1,-3.437025100E-2
2.769255462E1,2.608458884E-2,8.921138197E-2,-1.699728370E-1
2.789386762E1,3.415643424E-2,5.402117968E-2,2.292619087E-2
2.809518062E1,1.507657468E-1,1.575930230E-2,-6.211937964E-2
2.829649362E1,1.986838430E-1,-1.568211019E-1,-2.519197017E-2
2.849780663E1,2.486820668E-1,-9.401839226E-2,9.156596661E-2
2.869911971E1,1.200026944E-1,-1.766033769E-1,1.333078742E-1
2.890043271E1,4.871052131E-2,1.472458430E-2,3.454790711E-1
2.910174571E1,1.650414467E-1,-7.305293530E-2,6.028612852E-1
2.930305871E1,-7.859367877E-2,2.003576458E-1,6.282473207E-1
2.950437171E1,9.875008464E-2,4.398161173E-1,6.729117632E-1
2.970568325E1,1.831633747E-1,-5.914822817E-1,1.955323294E-2
2.990699625E1,-1.190887168E-1,-5.548582226E-2,4.145821184E-2
3.010830925E1,1.182782650E-1,2.712738216E-1,1.927925088E-2
3.030962225E1,5.340303108E-2,4.559204355E-2,1.237316523E-2
3.051093525E1,3.914286941E-2,1.552069187E-2,4.452311248E-2
3.071224796E1,-1.599183492E-2,1.404955983E-1,-7.147993892E-4
3.091355996E1,4.183723405E-2,3.623090312E-2,1.260606647E-1
3.111487296E1,-5.336971581E-2,4.061064720E-1,2.066332251E-1
3.131618596E1,-4.030326754E-2,4.960685074E-1,9.040983021E-2
3.151749896E1,2.985318378E-2,-7.533127815E-2,1.114232093E-1
3.171881221E1,1.199626699E-1,-1.676415652E-1,1.088436544E-1
3.192012621E1,-4.191291705E-2,-5.005058646E-1,3.446762636E-2
3.212143921E1,-1.141344309E-1,-3.064163029E-1,-1.205288023E-1
3.232275221E1,-1.833047159E-2,7.470493019E-2,-1.864983737E-1
3.252406621E1,3.484326880E-3,1.727353930E-1,-8.198102564E-2
3.272538025E1,1.897540316E-2,9.199075401E-2,-7.911280543E-2
3.292669425E1,-3.149111867E-1,5.764851347E-2,-7.065903395E-2
3.312800825E1,-3.368018866E-1,4.758300185E-1,8.418498933E-2
3.332932225E1,-4.560140967E-1,8.916395903E-1,3.074696660E-1
3.353063625E1,-5.862464309E-1,7.430450320E-1,3.145727813E-1
3.373195025E1,-2.014578730E-1,-4.116435945E-1,2.517859079E-2
3.393326525E1,-3.026612103E-1,-6.697363257E-1,-1.738765091E-2
3.413457925E1,-2.104921490E-1,-7.804532051E-1,1.555170584E-2
3.433589325E1,2.348039299E-2,-9.940280765E-2,-9.166631103E-2
3.453720725E1,1.727212816E-1,9.799735993E-2,4.497160017E-2
3.473852296E1,2.256004661E-1,-1.273731887E-1,4.681833088E-2
3.493983696E1,1.876620054E-1,-2.442557961E-1,-9.762987494E-2
3.514115096E1,1.429010779E-1,-1.483548880E-1,-1.580566764E-1
3.534246496E1,1.291125566E-1,6.074346974E-2,-1.108299866E-1
3.554377896E1,3.691661358E-2,2.061765082E-2,-2.160594314E-1
3.574509183E1,1.306299120E-1,1.145441979E-1,-2.737806439E-1
3.594640583E1,1.392671168E-1,-8.859849721E-2,-3.347816467E-1
3.614771983E1,6.290441006E-2,-2.300958484E-1,1.280879825E-1
3.634903383E1,-7.470404357E-2,2.498296052E-1,8.402875811E-2
3.655034783E1,1.006227583E-1,-6.301910616E-3,6.614392251E-2
3.675166200E1,-1.372523606E-2,9.354965389E-2,-1.193803921E-1
