"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686142740613846E9,"2023-06-07 14:59:00.614 UTC+02:00"
"PAUSE",9.716556637498434E1,1.686142837779582E9,"2023-06-07 15:00:37.780 UTC+02:00"
