"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.622823333E-1,2.355022812E1,-6.111608124E1,-3.382904053E0
3.635513333E-1,1.960632706E1,-6.224279785E1,-1.474395752E0
5.648213333E-1,1.859759903E1,-6.282716370E1,8.634033203E-1
7.660912083E-1,1.889293289E1,-6.371306229E1,3.323669434E0
9.673602083E-1,1.852434921E1,-6.403129578E1,3.393005371E0
1.168629208E0,1.925868607E1,-6.419046021E1,4.758605957E0
1.369899208E0,2.045472336E1,-6.438819885E1,7.614990234E0
1.571168208E0,2.408028030E1,-6.344601822E1,8.876068115E0
1.772438083E0,2.599950790E1,-6.315282059E1,4.708587646E0
1.973707083E0,3.254491043E1,-6.032706833E1,4.024444580E0
2.174977083E0,3.563348007E1,-5.851879883E1,2.041351318E0
2.376247083E0,3.869291306E1,-5.743647766E1,1.944580078E-1
2.577516083E0,4.123376083E1,-5.589977646E1,-1.265380859E0
2.778785583E0,4.059472275E1,-5.623485947E1,3.149017334E0
2.980055583E0,3.698861313E1,-5.831147003E1,2.351715088E0
3.181325583E0,3.262059402E1,-6.053512955E1,3.439147949E0
3.382594583E0,2.737780380E1,-6.266979218E1,2.301330566E-1
3.583864583E0,1.886752701E1,-6.544306946E1,-4.793670654E0
3.785135458E0,1.443445206E1,-6.609721375E1,-8.084625244E0
3.986405458E0,1.514950180E1,-6.486230469E1,-7.357452393E0
4.187675458E0,1.672710037E1,-6.268680191E1,-1.353869629E1
4.388945458E0,1.993106461E1,-6.188143158E1,-1.281515503E1
4.590216458E0,2.060445786E1,-6.212429810E1,-1.258883667E1
4.791487208E0,2.383095169E1,-6.082006454E1,-1.208358765E1
4.992757208E0,2.141004562E1,-6.213819885E1,-1.211090088E1
5.194027208E0,2.171717453E1,-6.241470718E1,-9.090209961E0
5.395298208E0,2.446624374E1,-6.214538574E1,-8.005584717E0
5.596568208E0,2.601898575E1,-6.158510208E1,-9.003112793E0
5.797837583E0,3.265984726E1,-5.839720154E1,-1.185302734E1
5.999108583E0,3.410435867E1,-5.759152222E1,-1.306518555E1
6.200378583E0,3.222318649E1,-5.879161835E1,-1.186334229E1
6.401648583E0,3.183279037E1,-5.924415970E1,-1.023199463E1
6.602919583E0,3.194783401E1,-5.876573563E1,-1.127896118E1
6.804189583E0,3.132120132E1,-5.898608398E1,-1.020199585E1
7.005460583E0,3.152810287E1,-5.887529755E1,-9.671936035E0
7.206731583E0,3.182427597E1,-5.809803009E1,-7.762420654E0
7.408001583E0,3.323668289E1,-5.712636948E1,-5.190521240E0
7.609271583E0,3.187224960E1,-5.734062958E1,-6.248168945E0
7.810541583E0,3.005287552E1,-5.773817062E1,-9.001373291E0
8.011812583E0,2.836410141E1,-5.826101685E1,-1.262130737E1
8.213083583E0,2.746060562E1,-5.814512253E1,-1.370993042E1
8.414353583E0,2.653802109E1,-5.833514786E1,-1.472613525E1
8.615625333E0,2.702849197E1,-5.753619766E1,-1.707574463E1
8.816895333E0,2.598051834E1,-5.814648438E1,-1.645297241E1
9.018166333E0,2.629279709E1,-5.857472992E1,-1.453829956E1
