"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.622823333E-1,1.467900872E-1,4.023716152E-1,2.653373778E-1
3.635513333E-1,-8.268313482E-3,3.043960035E-1,2.915158868E-1
5.648213333E-1,4.755007103E-2,3.678075671E-1,-2.934139222E-2
7.660912083E-1,1.847055256E-1,2.468543500E-1,3.880317509E-2
9.673602083E-1,-1.105905697E-1,1.347974688E-1,-1.293152571E-2
1.168629208E0,3.005071878E-1,1.821022034E-1,-1.828168705E-2
1.369899208E0,3.575661480E-1,-3.405518830E-2,-2.302162945E-1
1.571168208E0,-4.239032865E-1,2.441872843E-2,-1.483653635E-1
1.772438083E0,-3.343830705E-1,3.414914906E-1,-1.759984642E-1
1.973707083E0,2.196801156E-1,-3.517464101E-1,-3.820056915E-1
2.174977083E0,-1.327735186E-1,-1.958856583E-1,-5.825665593E-2
2.376247083E0,1.645141542E-1,-2.660387754E-1,-1.790805310E-1
2.577516083E0,-2.049952298E-1,1.004409343E-1,-1.785090659E-3
2.778785583E0,1.703666300E-1,1.904608160E-1,5.704982951E-2
2.980055583E0,-1.101367846E-1,-2.048863471E-2,4.230741560E-1
3.181325583E0,-2.955435216E-1,1.289852560E-1,3.846343756E-1
3.382594583E0,-3.242643178E-1,-1.610387117E-1,7.976844907E-1
3.583864583E0,-4.705768228E-1,-5.476804450E-2,4.751015604E-1
3.785135458E0,7.401948329E-3,-6.952141225E-2,1.348961741E-1
3.986405458E0,-4.163357317E-1,2.209868096E-2,-3.438228667E-1
4.187675458E0,-1.307077259E-1,-5.392006412E-2,-2.879403830E-1
4.388945458E0,6.996835768E-2,-3.982352912E-1,-2.679492906E-2
4.590216458E0,1.692353487E-1,1.273279488E-1,-2.039875388E-1
4.791487208E0,-7.288253307E-1,6.093619466E-1,2.587706745E-1
4.992757208E0,5.456684157E-2,-2.288038582E-1,1.554003209E-1
5.194027208E0,7.781140208E-1,-8.608230948E-1,-2.382424772E-1
5.395298208E0,-1.313828975E-1,-1.635258496E-1,1.017418653E-1
5.596568208E0,6.673222780E-2,-1.593625396E-1,-2.806454003E-1
5.797837583E0,-1.204437017E-1,3.552483320E-1,-7.522661686E-1
5.999108583E0,3.075932711E-2,-7.920906693E-2,2.057846934E-1
6.200378583E0,2.086933702E-1,-1.633090377E-1,1.531417221E-1
6.401648583E0,1.743197627E-2,-7.848488167E-4,-1.048824750E-2
6.602919583E0,-1.091615036E-1,8.650721610E-2,6.983046979E-2
6.804189583E0,4.930540919E-2,1.478186548E-1,1.228052899E-1
7.005460583E0,-6.939726323E-2,3.028094471E-1,-1.179973409E-1
7.206731583E0,1.284409463E-1,3.491322100E-1,-9.192060679E-2
7.408001583E0,6.818463653E-2,1.856377870E-1,-6.922204792E-2
7.609271583E0,-3.042043447E-1,-1.265546121E-2,2.100791186E-1
7.810541583E0,-2.908471227E-1,2.537695467E-1,1.555999666E-1
8.011812583E0,-4.105452001E-1,1.842938364E-1,1.045754477E-1
8.213083583E0,-4.757478833E-2,-9.827405959E-2,7.024899870E-2
8.414353583E0,-2.162994593E-1,2.623122185E-2,-1.266814955E-2
8.615625333E0,-2.525802329E-2,-2.168452889E-1,2.268816233E-1
8.816895333E0,1.807616800E-1,2.733042240E-1,-1.327427328E-1
9.018166333E0,1.619851291E-1,-8.802239597E-2,3.043528646E-2
9.219436333E0,2.998196781E-1,-1.941616684E-1,-2.375672609E-1
9.420707333E0,-3.410284966E-2,-1.636460274E-1,-3.608439267E-1
9.621977625E0,2.056371421E-1,-3.972813487E-2,-2.088480741E-1
9.823247625E0,1.147462521E-3,-2.088554651E-1,-3.116997182E-1
1.002451862E1,-9.458623081E-2,5.923242569E-1,-4.806073010E-2
1.022578863E1,8.683149703E-3,6.069278717E-1,-2.936987281E-1
1.042705962E1,8.004833013E-2,3.977781534E-2,-3.342407346E-1
1.062833121E1,2.921716496E-2,1.782756895E-1,-1.142926291E-1
1.082960121E1,-1.531868428E-1,8.048729040E-3,-4.189542681E-2
1.103087221E1,-2.651020885E-2,1.098766178E-1,-3.123233467E-2
1.123214221E1,-1.979677677E-1,3.860256169E-3,1.445710380E-2
1.143341321E1,-1.219167709E-1,1.210989878E-1,-1.367691904E-1
1.163468371E1,-1.061715111E-1,-1.884232312E-1,-8.426826447E-2
1.183595371E1,-3.591287881E-2,-1.065782905E-1,-6.382147223E-2
1.203722471E1,-2.274932712E-2,6.499971449E-2,2.903512307E-2
1.223849471E1,2.561331093E-1,-2.924625278E-1,2.968090177E-1
1.243976571E1,3.014564700E-2,-3.998479992E-2,2.012793571E-1
1.264103596E1,1.731124967E-1,-3.526276052E-1,3.336996734E-1
1.284230696E1,6.159381568E-2,-7.996654510E-2,-9.276167490E-3
1.304357796E1,2.310069650E-1,-5.986255780E-2,1.634685397E-1
1.324484796E1,1.839900315E-1,-3.513733447E-1,2.660587430E-1
1.344611896E1,4.090963602E-1,-1.725386977E-1,-6.992861629E-2
1.364738858E1,2.791208625E-1,-1.047341898E-1,-6.053520739E-2
1.384865958E1,-1.068305075E-1,2.711810768E-1,9.460967034E-2
1.404993058E1,2.309343368E-1,-4.902589023E-1,9.341464937E-2
1.425120158E1,1.811329275E-1,-6.672322005E-2,-9.711617231E-2
1.445247258E1,-4.399767220E-1,-2.588277869E-2,2.608391643E-1
1.465374463E1,-3.367426619E-2,7.591705918E-1,1.388313174E-1
1.485501562E1,-2.232527360E-2,-8.444243670E-1,1.451923102E-1
1.505628662E1,-3.061133325E-1,-3.088846803E-1,-2.446620017E-1
1.525755863E1,-3.482547104E-1,-8.363629580E-1,-2.479936779E-1
1.545882963E1,-4.731206000E-1,-3.025945127E-1,1.231411546E-1
1.566010183E1,-9.409526736E-2,-1.884274334E-1,1.028751954E-1
1.586137283E1,-3.762720898E-2,-2.906687558E-1,6.843543053E-2
1.606264483E1,4.543787241E-2,1.051259264E-1,-3.036141023E-2
1.626391683E1,1.183370724E-1,2.246234864E-1,5.196800828E-2
1.646518883E1,2.737019062E-1,-2.112519741E-1,1.359065622E-2
1.666645925E1,1.172596067E-1,1.755954623E-1,4.946687818E-2
1.686773125E1,1.870576143E-1,8.197745085E-1,4.961077124E-2
1.706900325E1,-5.982968211E-2,1.676148772E0,-9.962199256E-3
1.727027525E1,-2.824297249E-1,8.077790141E-1,2.177650332E-1
1.747154725E1,-2.033580691E-1,5.981994867E-1,-7.132764161E-2
1.767281958E1,6.635780632E-2,5.397219658E-1,-2.240174115E-1
1.787409158E1,4.808707163E-3,1.752661169E-1,-1.443079486E-2
1.807536358E1,7.468480617E-4,-3.611254692E-2,5.501493439E-2
1.827663458E1,-1.050461605E-1,1.408227086E-1,-8.010999113E-2
1.847790658E1,-8.863151073E-2,-1.440803558E-1,1.999339089E-2
1.867917813E1,3.295458853E-2,-8.416684717E-2,1.110065728E-1
1.888044913E1,5.077218413E-1,2.143985182E-1,-3.692868724E-2
1.908172112E1,3.320856094E-1,6.603278685E-3,-5.789648741E-2
