"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686740431909677E9,"2023-06-14 13:00:31.910 UTC+02:00"
"PAUSE",8.553161783333053E1,1.686740517440590E9,"2023-06-14 13:01:57.441 UTC+02:00"
