"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686741852740759E9,"2023-06-14 13:24:12.741 UTC+02:00"
"PAUSE",1.614037054166692E2,1.686742014143523E9,"2023-06-14 13:26:54.144 UTC+02:00"
