"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.866025417E-1,-5.596813202E0,-3.288072586E1,1.989978027E1
3.879055417E-1,-3.387958527E0,-3.282374191E1,1.941781616E1
5.892075417E-1,1.501586914E0,-3.473194504E1,1.436404419E1
7.905105417E-1,4.569053650E0,-3.407509613E1,1.335379028E1
9.918122083E-1,6.384498596E0,-3.346386719E1,1.431506348E1
1.193115208E0,8.330581665E0,-3.433652496E1,1.060977173E1
1.394418208E0,4.009407043E0,-3.556818390E1,1.002474976E1
1.595721208E0,-5.608959198E0,-3.638695526E1,9.421905518E0
1.797023208E0,-1.219477463E1,-3.607543182E1,7.931030273E0
1.998326792E0,-1.441530991E1,-3.559588623E1,7.748443604E0
2.199629792E0,-1.641488266E1,-3.405496216E1,1.229180908E1
2.400932792E0,-1.499481201E1,-3.353437042E1,1.449630737E1
2.602235792E0,-9.916007996E0,-3.491194916E1,1.358801270E1
2.803538792E0,-5.433353424E0,-3.519532776E1,1.281289673E1
3.004841792E0,2.396785736E0,-3.483215332E1,1.101806641E1
3.206143792E0,2.117942810E0,-3.457015610E1,1.237857056E1
3.407446792E0,-6.009941101E-1,-3.414121246E1,1.482723999E1
3.608749792E0,-1.369606018E0,-3.424321747E1,1.475308228E1
3.810052792E0,-6.544376373E0,-3.492505264E1,1.330923462E1
4.011355667E0,-1.066490936E1,-3.454557800E1,1.259677124E1
4.212658667E0,-1.444803619E1,-3.468920135E1,9.294372559E0
4.413961667E0,-1.685810852E1,-3.450231934E1,6.225219727E0
4.615264667E0,-1.668402481E1,-3.452303314E1,5.544647217E0
4.816567667E0,-1.769638824E1,-3.443711090E1,4.606140137E0
5.017870833E0,-2.033870697E1,-3.369837570E1,3.211334229E0
5.219173833E0,-2.156798172E1,-3.312172699E1,1.602355957E0
5.420476833E0,-2.067873383E1,-3.337028122E1,3.991973877E0
5.621779833E0,-1.909484100E1,-3.376805115E1,7.313262939E0
5.823083833E0,-1.960843277E1,-3.327339935E1,8.674835205E0
6.024387167E0,-2.042282104E1,-3.212381744E1,1.101354980E1
6.225690167E0,-2.035530853E1,-3.164661407E1,1.258679199E1
6.426993167E0,-1.640134430E1,-3.155338860E1,1.592932129E1
6.628297167E0,-1.134026337E1,-3.225518036E1,1.748342896E1
6.829600167E0,-8.522541046E0,-3.221338272E1,1.831216431E1
7.030902958E0,-8.584686279E0,-3.074966621E1,2.071170044E1
7.232206958E0,-1.453327942E1,-3.026366615E1,1.954656982E1
7.433509958E0,-1.583803940E1,-3.116599655E1,1.714633179E1
7.634813958E0,-1.468588638E1,-3.352636719E1,1.237136841E1
7.836116958E0,-1.219557190E1,-3.406673813E1,1.275561523E1
8.037422167E0,-8.982467651E0,-3.453686905E1,1.248962402E1
8.238725167E0,-7.680961609E0,-3.533284760E1,1.221368408E1
8.440029167E0,-8.330669403E0,-3.574841309E1,9.949951172E0
8.641332167E0,-7.618339539E0,-3.661747360E1,7.637756348E0
8.842635167E0,-5.202892303E0,-3.656573486E1,7.944396973E0
9.043938292E0,-2.287445068E0,-3.579698181E1,1.034823608E1
9.245241292E0,-1.760360718E0,-3.563441467E1,1.130291748E1
9.446545292E0,1.046134949E0,-3.493992615E1,1.169683838E1
9.647848292E0,2.781517029E0,-3.488102341E1,1.127517700E1
9.849152292E0,3.098098755E0,-3.500505829E1,1.035177612E1
1.005045521E1,1.866859436E0,-3.481168365E1,1.214035034E1
1.025175921E1,3.779983521E-1,-3.348361206E1,1.525375366E1
1.045306321E1,5.178718567E-1,-3.241633224E1,1.660980225E1
1.065436621E1,2.761646271E0,-3.360091400E1,1.291998291E1
1.085567021E1,-3.098754883E-1,-3.506420517E1,9.650573730E0
1.105697533E1,4.815330505E-1,-3.530727386E1,9.682067871E0
1.125827933E1,2.463493347E-1,-3.629872131E1,4.283294678E0
1.145958233E1,-1.344997406E0,-3.701084900E1,-2.040557861E0
1.166088633E1,-1.764717102E0,-3.685816193E1,-5.146362305E0
1.186219033E1,-2.466781616E0,-3.657113647E1,-6.267028809E0
1.206349329E1,-3.977375031E0,-3.689379883E1,-4.708526611E0
1.226479729E1,-4.533046722E0,-3.691931152E1,-2.805633545E0
1.246610029E1,-3.804004669E0,-3.699565125E1,-2.381591797E0
1.266740429E1,-2.967426300E0,-3.705920410E1,-3.353820801E0
1.286870829E1,-2.141159058E0,-3.686589050E1,-3.432800293E0
1.307001254E1,-2.261940002E0,-3.728855133E1,1.248931885E0
1.327131654E1,-7.005958557E0,-3.673606110E1,5.957336426E0
1.347262054E1,-1.267061615E1,-3.382728577E1,1.273260498E1
1.367392354E1,-1.340526199E1,-3.280273438E1,1.504254150E1
1.387522754E1,-1.385102081E1,-3.377193069E1,1.275262451E1
1.407653133E1,-1.304990005E1,-3.401665497E1,1.239791870E1
1.427783533E1,-1.283721542E1,-3.371112823E1,1.355081177E1
1.447913933E1,-1.417329025E1,-3.407215118E1,1.241043091E1
1.468044233E1,-1.064846420E1,-3.545222473E1,1.044750977E1
1.488174633E1,-7.462184906E0,-3.599149704E1,9.569000244E0
1.508305079E1,-6.384124756E0,-3.602594757E1,9.609985352E0
1.528435479E1,-4.844760895E0,-3.639157867E1,7.915863037E0
1.548565879E1,-3.536121368E0,-3.661028671E1,5.693542480E0
1.568696279E1,-3.650314331E0,-3.709538651E1,3.273803711E0
1.588826779E1,-3.484836578E0,-3.727059937E1,6.049194336E-1
1.608957154E1,-3.251228333E0,-3.719468307E1,-1.726654053E0
1.629087654E1,-2.781555176E0,-3.713918304E1,-4.149322510E0
1.649218154E1,-2.997089386E0,-3.707467651E1,-5.322448730E0
1.669348654E1,-2.302886963E0,-3.692104340E1,-7.206726074E0
1.689479317E1,-3.095058441E0,-3.598954773E1,-9.747161865E0
1.709609817E1,-5.117931366E0,-3.637563324E1,-8.089019775E0
1.729740317E1,-5.543498993E0,-3.712384796E1,-3.592529297E0
1.749870817E1,-4.875530243E0,-3.739096832E1,2.723510742E0
1.770001417E1,-4.109123230E0,-3.638249207E1,8.661590576E0
1.790131817E1,3.291183472E0,-3.547053528E1,9.360809326E0
1.810262317E1,8.567413330E0,-3.494882965E1,5.283752441E0
1.830392817E1,1.087973022E1,-3.438693237E1,2.131896973E0
1.850523317E1,1.056711578E1,-3.488881683E1,2.967834473E-1
1.870653917E1,1.084453583E1,-3.462017822E1,-7.049255371E-1
1.890784467E1,9.466926575E0,-3.535224152E1,-5.872802734E-1
1.910915067E1,9.181137085E0,-3.533121490E1,1.936035156E-1
1.931045567E1,8.090270996E0,-3.562165070E1,9.851074219E-1
1.951176167E1,5.616836548E0,-3.620081329E1,2.043090820E0
1.971306767E1,5.897338867E0,-3.628883362E1,-3.552246094E-1
1.991437417E1,5.942436218E0,-3.606847382E1,-3.424346924E0
2.011568017E1,8.619918823E0,-3.508876038E1,-2.737945557E0
2.031698617E1,1.052986908E1,-3.447129822E1,1.053588867E0
2.051829217E1,1.157993317E1,-3.327925491E1,4.845977783E0
2.071959817E1,1.068724823E1,-3.376496124E1,6.524139404E0
