"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686136371870559E9,"2023-06-07 13:12:51.871 UTC+02:00"
"PAUSE",1.281853153333068E2,1.686136500053472E9,"2023-06-07 13:15:00.053 UTC+02:00"
