"Time (s)","Distance (cm)"
2.059512500E-1,0.000000000E0
4.059512500E-1,0.000000000E0
6.059512500E-1,0.000000000E0
8.059512500E-1,0.000000000E0
1.005951250E0,0.000000000E0
1.205951250E0,0.000000000E0
1.405951250E0,0.000000000E0
1.605951250E0,0.000000000E0
1.805951250E0,0.000000000E0
2.005951250E0,0.000000000E0
2.205951250E0,0.000000000E0
2.405951250E0,0.000000000E0
2.605951250E0,0.000000000E0
2.805951250E0,0.000000000E0
3.005951250E0,0.000000000E0
3.205951250E0,0.000000000E0
3.405951250E0,0.000000000E0
3.605951250E0,0.000000000E0
3.805951250E0,0.000000000E0
4.005951250E0,0.000000000E0
4.205951250E0,0.000000000E0
4.405951250E0,0.000000000E0
4.605951250E0,0.000000000E0
4.805951250E0,0.000000000E0
5.005951250E0,0.000000000E0
5.205951250E0,0.000000000E0
5.405951250E0,0.000000000E0
5.605951250E0,0.000000000E0
5.805951250E0,0.000000000E0
6.005951250E0,0.000000000E0
6.205951250E0,0.000000000E0
6.405951250E0,0.000000000E0
6.605951250E0,0.000000000E0
6.805951250E0,0.000000000E0
7.005951250E0,0.000000000E0
7.205951250E0,0.000000000E0
7.405951250E0,0.000000000E0
7.605951250E0,0.000000000E0
7.805951250E0,0.000000000E0
8.005951250E0,0.000000000E0
8.205951250E0,0.000000000E0
8.405951250E0,0.000000000E0
8.605951250E0,0.000000000E0
8.805951250E0,0.000000000E0
9.005951250E0,0.000000000E0
9.205951250E0,0.000000000E0
9.405951250E0,0.000000000E0
9.605951250E0,0.000000000E0
9.805951250E0,0.000000000E0
1.000595125E1,0.000000000E0
1.020595125E1,0.000000000E0
1.040595125E1,0.000000000E0
1.060595125E1,0.000000000E0
1.080595125E1,0.000000000E0
1.100595125E1,0.000000000E0
1.120595125E1,0.000000000E0
1.140595125E1,0.000000000E0
1.160595125E1,0.000000000E0
1.180595125E1,0.000000000E0
1.200595125E1,0.000000000E0
1.220595125E1,0.000000000E0
1.240595125E1,0.000000000E0
1.260595125E1,0.000000000E0
1.280595125E1,5.000000000E0
1.300595125E1,5.000000000E0
1.320595125E1,5.000000000E0
1.340595125E1,5.000000000E0
1.360595125E1,5.000000000E0
1.380595125E1,5.000000000E0
1.400595125E1,5.000000000E0
1.420595125E1,5.000000000E0
1.440595125E1,5.000000000E0
1.460595125E1,5.000000000E0
1.480595125E1,5.000000000E0
1.500595125E1,0.000000000E0
1.520595125E1,0.000000000E0
1.540595125E1,0.000000000E0
1.560595125E1,0.000000000E0
1.580595125E1,5.000000000E0
1.600595125E1,5.000000000E0
1.620595125E1,5.000000000E0
1.640595125E1,5.000000000E0
1.660595125E1,5.000000000E0
1.680595125E1,5.000000000E0
1.700595125E1,5.000000000E0
1.720595125E1,5.000000000E0
1.740595125E1,5.000000000E0
1.760595125E1,5.000000000E0
1.780595125E1,5.000000000E0
1.800595125E1,5.000000000E0
1.820595125E1,5.000000000E0
1.840595125E1,5.000000000E0
1.860595125E1,5.000000000E0
1.880595125E1,5.000000000E0
1.900595125E1,5.000000000E0
1.920595125E1,5.000000000E0
1.940595125E1,5.000000000E0
1.960595125E1,0.000000000E0
1.980595125E1,0.000000000E0
2.000595125E1,0.000000000E0
2.020595125E1,0.000000000E0
2.040595125E1,0.000000000E0
2.060595125E1,0.000000000E0
2.080595125E1,0.000000000E0
2.100595125E1,0.000000000E0
2.120595125E1,0.000000000E0
2.140595125E1,0.000000000E0
2.160595125E1,0.000000000E0
2.180595125E1,0.000000000E0
2.200595125E1,0.000000000E0
2.220595125E1,0.000000000E0
2.240595125E1,0.000000000E0
2.260595125E1,0.000000000E0
2.280595125E1,0.000000000E0
2.300595125E1,0.000000000E0
2.320595125E1,0.000000000E0
2.340595125E1,0.000000000E0
2.360595125E1,0.000000000E0
2.380595125E1,0.000000000E0
2.400595125E1,0.000000000E0
2.420595125E1,0.000000000E0
2.440595125E1,0.000000000E0
2.460595125E1,0.000000000E0
2.480595125E1,0.000000000E0
2.500595125E1,0.000000000E0
2.520595125E1,5.000000000E0
2.540595125E1,5.000000000E0
2.560595125E1,5.000000000E0
2.580595125E1,5.000000000E0
2.600595125E1,5.000000000E0
2.620595125E1,5.000000000E0
2.640595125E1,5.000000000E0
2.660595125E1,5.000000000E0
2.680595125E1,5.000000000E0
2.700595125E1,5.000000000E0
2.720595125E1,5.000000000E0
2.740595125E1,5.000000000E0
2.760595125E1,5.000000000E0
2.780595125E1,0.000000000E0
2.800595125E1,0.000000000E0
2.820595125E1,0.000000000E0
2.840595125E1,0.000000000E0
2.860595125E1,0.000000000E0
2.880595125E1,0.000000000E0
2.900595125E1,0.000000000E0
2.920595125E1,0.000000000E0
2.940595125E1,0.000000000E0
2.960595125E1,0.000000000E0
2.980595125E1,0.000000000E0
3.000595125E1,0.000000000E0
3.020595125E1,0.000000000E0
3.040595125E1,0.000000000E0
3.060595125E1,5.000000000E0
3.080595125E1,5.000000000E0
3.100595125E1,5.000000000E0
3.120595125E1,5.000000000E0
3.140595125E1,5.000000000E0
3.160595125E1,5.000000000E0
3.180595125E1,5.000000000E0
3.200595125E1,0.000000000E0
3.220595125E1,0.000000000E0
3.240595125E1,0.000000000E0
3.260595125E1,0.000000000E0
3.280595125E1,0.000000000E0
3.300595125E1,0.000000000E0
3.320595125E1,0.000000000E0
3.340595125E1,0.000000000E0
3.360595125E1,0.000000000E0
3.380595125E1,0.000000000E0
3.400595125E1,0.000000000E0
3.420595125E1,0.000000000E0
3.440595125E1,0.000000000E0
3.460595125E1,0.000000000E0
3.480595125E1,0.000000000E0
3.500595125E1,0.000000000E0
3.520595125E1,0.000000000E0
3.540595125E1,0.000000000E0
3.560595125E1,0.000000000E0
3.580595125E1,0.000000000E0
3.600595125E1,0.000000000E0
3.620595125E1,0.000000000E0
3.640595125E1,0.000000000E0
3.660595125E1,0.000000000E0
3.680595125E1,0.000000000E0
3.700595125E1,0.000000000E0
3.720595125E1,0.000000000E0
3.740595125E1,0.000000000E0
3.760595125E1,0.000000000E0
3.780595125E1,0.000000000E0
3.800595125E1,0.000000000E0
3.820595125E1,0.000000000E0
3.840595125E1,0.000000000E0
3.860595125E1,0.000000000E0
3.880595125E1,0.000000000E0
3.900595125E1,0.000000000E0
3.920595125E1,0.000000000E0
3.940595125E1,5.000000000E0
3.960595125E1,5.000000000E0
3.980595125E1,5.000000000E0
4.000595125E1,5.000000000E0
4.020595125E1,5.000000000E0
4.040595125E1,5.000000000E0
4.060595125E1,5.000000000E0
4.080595125E1,5.000000000E0
4.100595125E1,5.000000000E0
4.120595125E1,5.000000000E0
4.140595125E1,5.000000000E0
