"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686754877873781E9,"2023-06-14 17:01:17.874 UTC+02:00"
"PAUSE",6.369947516667889E1,1.686754941544876E9,"2023-06-14 17:02:21.545 UTC+02:00"
