"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686147535545139E9,"2023-06-07 16:18:55.545 UTC+02:00"
"PAUSE",2.287304917083238E2,1.686147764270853E9,"2023-06-07 16:22:44.271 UTC+02:00"
