"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.039457917E-1,-2.088074875E1,-3.507721329E1,-6.623382568E0
3.052617917E-1,-1.952380371E1,-3.607702637E1,-3.481719971E0
5.065777917E-1,-1.828567505E1,-3.652775574E1,-3.622741699E-1
7.078937917E-1,-1.565672302E1,-3.708768082E1,1.337646484E0
9.092105417E-1,-1.511004639E1,-3.744634247E1,-9.508666992E-1
1.110526542E0,-1.362611008E1,-3.777088928E1,-1.649414062E0
1.311842542E0,-1.305141449E1,-3.763861084E1,-3.160400391E0
1.513158542E0,-1.189718628E1,-3.787662506E1,-4.100372314E0
1.714474542E0,-1.066883087E1,-3.814588165E1,-3.168457031E0
1.915790792E0,-1.157834625E1,-3.798907089E1,-2.302398682E0
2.117106792E0,-1.227450562E1,-3.804102325E1,-6.898193359E-1
2.318422792E0,-1.160484314E1,-3.818660736E1,-1.228027344E0
2.519738792E0,-1.166959000E1,-3.818260193E1,-1.382598877E0
2.721054792E0,-1.114940262E1,-3.806979370E1,2.133483887E-1
2.922370208E0,-9.227851868E0,-3.829087830E1,6.685180664E-1
3.123686208E0,-1.006005096E1,-3.815303802E1,1.554656982E0
3.325002208E0,-9.056228638E0,-3.815942383E1,6.239624023E-1
3.526318208E0,-9.049846649E0,-3.835171127E1,5.342712402E-1
3.727634208E0,-7.972133636E0,-3.835960388E1,1.341674805E0
3.928950042E0,-9.749343872E0,-3.827056503E1,-5.194091797E-1
4.130266042E0,-1.032997131E1,-3.788526917E1,-1.803161621E0
4.331582042E0,-1.279674149E1,-3.757227325E1,-1.928466797E0
4.532898042E0,-1.439175034E1,-3.720667648E1,-9.531250000E-1
4.734214042E0,-1.607024002E1,-3.680053711E1,-1.349945068E0
4.935531167E0,-1.670839691E1,-3.650157928E1,-2.140075684E0
5.136847167E0,-1.793246460E1,-3.627654266E1,-1.402923584E0
5.338163167E0,-1.946041489E1,-3.578395081E1,-1.002471924E0
5.539478167E0,-1.941060257E1,-3.585616302E1,-1.859283447E0
5.740794167E0,-1.947712326E1,-3.578258896E1,-1.952362061E0
5.942109542E0,-1.801448441E1,-3.619178009E1,1.701080322E0
6.143425542E0,-1.758520508E1,-3.640283203E1,1.585876465E0
6.344741542E0,-1.723550797E1,-3.641547775E1,1.252014160E0
6.546057542E0,-1.899044800E1,-3.570244217E1,-1.238708496E0
6.747373542E0,-2.277984238E1,-3.366588593E1,-6.442535400E0
6.948690417E0,-2.507310486E1,-3.236897278E1,-7.461425781E0
7.150006417E0,-2.611506653E1,-3.229604340E1,-3.477844238E0
7.351322417E0,-2.459859085E1,-3.350438690E1,-2.884826660E-1
7.552638417E0,-2.420574188E1,-3.363039780E1,2.491241455E0
7.753954417E0,-2.403263474E1,-3.341297150E1,3.610443115E0
7.955270292E0,-2.140098572E1,-3.509709549E1,4.702056885E0
8.156586292E0,-1.823058701E1,-3.534108353E1,8.322357178E0
8.357902292E0,-1.927383804E1,-3.342689514E1,1.371060181E1
8.559218292E0,-1.926425552E1,-3.193658257E1,1.661120605E1
8.760534292E0,-1.857107162E1,-3.029167175E1,1.995153809E1
8.961849542E0,-1.374114227E1,-3.010834122E1,2.290545654E1
9.163165542E0,-1.217758942E1,-2.926819801E1,2.448010254E1
9.364481542E0,-1.395701599E1,-2.995995903E1,2.282839966E1
9.565796542E0,-1.496144867E1,-3.111852264E1,1.932839966E1
9.767112542E0,-1.623809814E1,-3.410816956E1,1.136984253E1
9.968429292E0,-1.723905563E1,-3.589929962E1,2.546691895E0
1.016974429E1,-1.698154831E1,-3.598469162E1,-1.856384277E-1
1.037106029E1,-1.646965027E1,-3.586254120E1,-2.614990234E0
1.057237629E1,-1.605341721E1,-3.623714447E1,-3.382965088E0
1.077369129E1,-1.604467392E1,-3.602550507E1,-4.406768799E0
1.097500629E1,-1.499555969E1,-3.649327087E1,-3.873962402E0
1.117632229E1,-1.548218155E1,-3.616387177E1,-6.332336426E0
1.137763729E1,-1.580535889E1,-3.558908844E1,-7.547576904E0
1.157895329E1,-1.469480133E1,-3.618082047E1,-5.513275146E0
1.178026867E1,-1.422779846E1,-3.654569626E1,-2.403442383E0
1.198158467E1,-1.366663742E1,-3.684928894E1,9.118652344E-2
1.218289967E1,-1.267535400E1,-3.699601746E1,2.360595703E0
1.238421567E1,-1.171121597E1,-3.700022125E1,3.492919922E0
1.258553167E1,-1.118169403E1,-3.757367706E1,6.246643066E-1
1.278684692E1,-1.515554047E1,-3.631737518E1,-1.082489014E0
1.298816292E1,-1.818404770E1,-3.555237579E1,-2.630706787E0
1.318947792E1,-1.939787674E1,-3.502101135E1,-4.180511475E0
1.339079392E1,-1.997153091E1,-3.456545258E1,-6.528411865E0
1.359210992E1,-2.098679352E1,-3.375610352E1,-8.558593750E0
1.379342504E1,-2.218811035E1,-3.338366699E1,-7.593017578E0
1.399474104E1,-2.290625763E1,-3.333932114E1,-6.238677979E0
1.419605704E1,-2.256438828E1,-3.344494629E1,-6.269348145E0
1.439737204E1,-2.024890518E1,-3.475095367E1,-4.013671875E0
1.459868804E1,-1.890007401E1,-3.549787140E1,-8.247680664E-1
1.480000429E1,-1.842337418E1,-3.548073578E1,4.443664551E0
1.500132029E1,-1.873208618E1,-3.414676285E1,9.596374512E0
1.520263529E1,-1.925319290E1,-3.291637421E1,1.318725586E1
1.540395129E1,-1.845589447E1,-3.238948059E1,1.497805786E1
1.560526629E1,-1.883697128E1,-3.177833176E1,1.540457153E1
1.580658208E1,-1.720270920E1,-3.236154175E1,1.574380493E1
1.600789808E1,-1.573585510E1,-3.340928650E1,1.415905762E1
1.620921308E1,-1.582072449E1,-3.426185608E1,1.222393799E1
1.641052908E1,-1.596599197E1,-3.509829712E1,9.231445312E0
1.661184408E1,-1.585385513E1,-3.610996628E1,3.589843750E0
1.681315992E1,-1.465405655E1,-3.649803543E1,1.655883789E0
1.701447592E1,-1.564426804E1,-3.603147125E1,-1.557281494E0
1.721579092E1,-1.654794312E1,-3.323010254E1,-1.236730957E1
1.741710692E1,-1.788312149E1,-3.200889969E1,-1.529208374E1
1.761842292E1,-1.812854767E1,-3.236395264E1,-1.382412720E1
1.781973933E1,-1.432764053E1,-3.400579071E1,-1.296664429E1
