"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686756391259026E9,"2023-06-14 17:26:31.259 UTC+02:00"
"PAUSE",1.581002862083260E2,1.686756549358459E9,"2023-06-14 17:29:09.358 UTC+02:00"
