"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686740083914416E9,"2023-06-14 12:54:43.914 UTC+02:00"
"PAUSE",1.441097609166609E2,1.686740228022990E9,"2023-06-14 12:57:08.023 UTC+02:00"
