"Time (s)","X (hPa)"
1.049486180E2,1.017110138E3
1.059028660E2,1.017110138E3
1.068570490E2,1.017114029E3
1.078110940E2,1.017141190E3
1.087651850E2,1.017175674E3
1.097193620E2,1.017175674E3
1.106736760E2,1.017324982E3
1.116280170E2,1.017391510E3
1.125823620E2,1.017391510E3
1.135365370E2,1.017281952E3
1.144908360E2,1.017221527E3
1.154450610E2,1.017172165E3
1.163992490E2,1.016821518E3
1.173534760E2,1.016763000E3
1.183077120E2,1.016763000E3
1.192619920E2,1.016847839E3
1.202162920E2,1.017006302E3
1.211704860E2,1.017045975E3
1.221246100E2,1.017045975E3
1.230787270E2,1.017021332E3
1.240329350E2,1.016935577E3
1.249872190E2,1.016890259E3
1.259417070E2,1.016932678E3
1.268964880E2,1.016932678E3
1.278514910E2,1.016953964E3
1.288067010E2,1.016987381E3
1.297620700E2,1.017004318E3
1.307175180E2,1.017004318E3
1.316728260E2,1.016944427E3
1.326280310E2,1.016854019E3
1.335830760E2,1.016727829E3
1.345379370E2,1.016727829E3
1.354928050E2,1.016927261E3
1.364476410E2,1.016990891E3
1.374023020E2,1.016992264E3
1.383568900E2,1.016990891E3
1.393115160E2,1.016985931E3
1.402661140E2,1.016899338E3
1.412206300E2,1.016899338E3
1.421752410E2,1.016954193E3
1.431297380E2,1.016954193E3
1.440841810E2,1.016953049E3
1.450386650E2,1.016883087E3
1.459932200E2,1.016878510E3
1.469476900E2,1.016761017E3
1.479021420E2,1.016733475E3
1.488565380E2,1.016761017E3
1.498109000E2,1.016859283E3
1.507653120E2,1.016960907E3
1.517196980E2,1.016936417E3
1.526740760E2,1.016936417E3
1.536284290E2,1.016845245E3
1.545828040E2,1.016751328E3
1.555372380E2,1.016713715E3
1.564917010E2,1.016658630E3
1.574461660E2,1.016642456E3
1.584006650E2,1.016599197E3
1.593550690E2,1.016642456E3
1.603095170E2,1.016580887E3
1.612639960E2,1.016690598E3
1.622184450E2,1.016713638E3
1.631729590E2,1.016713638E3
1.641274330E2,1.016710815E3
1.650819550E2,1.016710815E3
1.660364830E2,1.016624222E3
1.669909320E2,1.016693878E3
1.679454590E2,1.016660233E3
1.688997240E2,1.016693878E3
1.698539460E2,1.016713791E3
1.708082420E2,1.016868134E3
1.717624020E2,1.016913528E3
1.727166760E2,1.016913528E3
1.736709440E2,1.016822433E3
1.746252410E2,1.016699448E3
1.755795520E2,1.016449585E3
1.765337320E2,1.016293259E3
1.774878290E2,1.016293259E3
1.784419920E2,1.016438599E3
