"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.743355429E1,5.070289373E-1,6.240552068E-1,7.074163556E-1
1.763484596E1,4.972227812E-1,6.251681447E-1,8.762823939E-1
1.783613696E1,5.501772761E-1,3.671868742E-1,6.347652674E-1
1.803742796E1,2.111107558E-1,7.175802588E-1,4.304090738E-1
1.823871896E1,1.091364473E-1,-2.852565348E-1,-1.818353981E-1
1.844000996E1,9.467777796E-3,-1.084658056E-1,4.114569724E-2
1.864130004E1,2.598981559E-1,2.014808357E-1,3.157078028E-1
1.884259204E1,1.745091192E-2,-2.685235739E-1,-7.629720867E-2
1.904388304E1,-6.229459047E-1,-6.099724174E-1,-2.608438134E-1
1.924517504E1,-1.182253838E0,-6.943578720E-1,-9.498216957E-2
1.944646604E1,-8.446995020E-1,-2.285183817E-1,-2.476133034E-2
1.964775829E1,-7.212382555E-1,-1.603382230E-1,9.245390445E-2
1.984904929E1,-7.470282316E-1,8.393852040E-3,7.456796244E-3
2.005034129E1,-3.527705371E-1,9.691955894E-2,-1.730542183E-1
2.025163229E1,1.742178500E-1,8.369956911E-2,4.413870722E-2
2.045292429E1,1.915696710E-1,1.099213883E-1,3.149067238E-2
2.065421546E1,9.055909514E-2,-6.980404258E-3,-8.074359968E-3
2.085550746E1,6.983964890E-2,1.077025682E-1,-1.693580896E-1
2.105679846E1,-1.059976593E-2,-1.767278612E-1,-3.138158619E-1
2.125809046E1,-2.518644929E-1,-4.430949688E-1,-2.310179919E-1
2.145938146E1,-3.552904725E-1,-2.826166749E-1,-2.296566963E-1
2.166067408E1,-1.662681699E-1,-1.953374743E-1,-2.593865395E-1
2.186196508E1,-7.292132080E-2,-3.414241374E-1,-1.674273461E-1
2.206325708E1,3.620630801E-1,-4.294770360E-1,2.674452364E-1
2.226454908E1,5.704262853E-1,-8.989498019E-5,2.963795662E-1
2.246584108E1,2.874546945E-1,3.736994267E-1,2.983796299E-1
2.266713267E1,1.235210449E-1,2.023059279E-1,1.699657291E-1
2.286842467E1,1.042167768E-1,-3.320508897E-1,1.506291777E-1
2.306971667E1,3.308378160E-1,-1.256552488E-1,6.391232610E-1
2.327100867E1,3.146587610E-1,-7.729749382E-2,4.022578299E-1
2.347230067E1,1.687061973E-2,1.043451503E-1,1.895937026E-1
2.367359433E1,3.352546692E-2,-6.211756729E-3,-6.770937890E-2
2.387488633E1,3.146744072E-1,7.148075104E-2,1.208934281E-2
2.407617833E1,5.675663948E-1,-1.072025299E-1,3.448317647E-1
2.427747033E1,7.524557114E-1,-2.194956988E-1,6.697975099E-2
2.447876333E1,5.156164169E-1,-5.132217407E-1,-2.738691568E-1
2.468005433E1,1.529253423E-1,-5.046830177E-1,-5.332894325E-1
2.488134633E1,2.684606425E-2,-3.795329034E-1,-8.013114929E-1
2.508263933E1,9.695915133E-2,-1.722024567E-2,-6.803894639E-1
2.528393133E1,1.786307245E-1,2.445640266E-1,-3.891026974E-1
2.548522333E1,-6.606739759E-2,2.022303492E-1,-5.033148527E-1
2.568651679E1,1.451511532E-1,-3.580674902E-2,-4.314237833E-1
