"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686138335533499E9,"2023-06-07 13:45:35.533 UTC+02:00"
"PAUSE",1.917278339166660E2,1.686138527258152E9,"2023-06-07 13:48:47.258 UTC+02:00"
