"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686754702419779E9,"2023-06-14 16:58:22.420 UTC+02:00"
"PAUSE",2.635297383333091E1,1.686754728772810E9,"2023-06-14 16:58:48.773 UTC+02:00"
