datetime,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,outdoor,magnitude,roll,pitch,Velocity_X,Velocity_Y,Velocity_Z,Displacement_X,Displacement_Y,Displacement_Z,distance,climb_id
2023-06-07 13:14:40.068719685-02:00,108.0886352,0.1572830844,-0.4426856804,-1.072861454,0.0396617949,-0.4321472049,-0.123366043,0,4.3,1,0,0.0,1.171213165802273,-2.750253264178428,0.13469768590566156,109.59535204997032,76.05071321142906,-76.76294307928372,668.6122578645674,-2206.0860412083953,-2018.4014780040177,3063.952104552238,1.1
2023-06-07 13:14:40.270581102-02:00,108.2898982,-0.6591159824,0.04391960621,-0.3020157051,-0.6752426624,-0.9439270496,-0.006866221316,0,4.3,1,0,0.0,0.726344474882138,2.9971833409934185,-1.1371571978349546,109.46209740147215,76.05913695133604,-76.82330812168087,690.6392737032595,-2190.766093862814,-2033.852135982817,3068.0601681587286,1.1
2023-06-07 13:14:40.472442519-02:00,108.4911622,1.083198454,-0.9371630734,0.8111294098,-0.7072449327,-0.2853535414,-0.007537459489,0,4.3,1,0,0.0,1.6460633148014143,-0.8573632462792723,0.718231326640334,109.68065013103501,75.87089767172391,-76.66043867821813,712.7174715975533,-2175.5068986050574,-2049.2912279578645,3072.5219278605086,1.1
2023-06-07 13:14:40.674303937-02:00,108.6924252,0.330704484,0.02710009038,0.2932110409,-0.4339731336,-0.4366947711,-0.1429760903,0,4.3,1,0,0.0,0.4428008413970912,0.09216336684965878,0.8433080005016396,109.74666374848285,75.87597494518448,-76.60104524955163,734.8018731765923,-2160.225063039318,-2064.6980020225715,3077.2526635560903,1.1
2023-06-07 13:14:40.876165354-02:00,108.8936892,-0.8169261932,0.4485171086,-0.0634283296,-0.5004970431,-0.7027711868,0.05152638629,0,4.3,1,0,0.0,0.9341087489361152,1.7112826007066124,-1.064510141394665,109.58279120494684,75.96662229165406,-76.61419169060564,756.8605950192489,-2144.9464501146294,-2080.127939405243,3082.2987328366708,1.1
2023-06-07 13:14:41.078026771-02:00,109.0949518,-0.05928521186,0.06972629249,-0.05101458114,-0.2793182433,-0.2747802436,-0.039046783,0,4.3,1,0,0.0,0.10478062654219891,2.2024434572404967,-0.6014070245010354,109.57009704703059,75.9801271598742,-76.62392608663183,778.9076928822935,-2129.6395718455574,-2095.535000543111,3087.6089192938543,1.1
2023-06-07 13:14:41.279888188-02:00,109.2962158,0.1447253117,-0.2291307467,0.06790255507,-0.1505838633,-0.2488066405,0.01107190177,0,4.3,1,0,0.0,0.2793869573101008,-1.282692881934414,0.5445231506237882,109.59998722120103,75.93453991358193,-76.61079274942058,800.9716428594091,-2114.3714965607587,-2110.9685718570613,3093.268612568544,1.1
2023-06-07 13:14:41.481749606-02:00,109.4974788,0.7436404082,-0.2917187583,-0.4265216374,0.1602067649,-0.03882198781,0.04639234394,0,4.3,1,0,0.0,0.9055504391376183,-2.5417210576170564,0.9635153686206597,109.74910996235049,75.87545043289325,-76.69625512546288,823.056098271302,-2099.090070317353,-2126.3942016972137,3099.2180893280192,1.1
2023-06-07 13:14:41.683611023-02:00,109.6987428,0.4631909886,0.1464370841,-0.1886650177,0.1608761996,0.139220655,-0.01971728913,0,4.3,1,0,0.0,0.521137410309121,2.481548868276962,1.0947370775736671,109.84287893545434,75.9052999427111,-76.73460767637805,845.1676049129953,-2083.8234956173105,-2141.848681028162,3105.502280421509,1.1
2023-06-07 13:14:41.885472440-02:00,109.9000058,0.9785145825,-0.4009418231,-1.450556209,0.3867400885,0.2689635456,-0.1146684363,0,4.3,1,0,0.0,1.7950928803670165,-2.871920160907678,0.5765146705839511,110.03927195070678,75.82422804560788,-77.0261697072122,867.3102396051029,-2068.5525303258405,-2157.340557035767,3112.1142172922723,1.1
2023-06-07 13:14:42.087333858-02:00,110.1012702,-0.9688301316,-0.2672598553,0.4273320615,0.5254251361,0.2054044008,-0.03655713052,0,4.3,1,0,0.0,1.0920953918668872,-0.5588976430098921,-1.0910880242395382,109.84504637671239,75.77096559000783,-76.94069877586784,889.4241700299156,-2053.316921400139,-2172.840987227608,3119.042110924089,1.1
2023-06-07 13:14:42.289195275-02:00,110.3025332,-1.07322515,0.1321681237,0.746637691,0.08264999837,0.5718476176,0.334061414,0,4.3,1,0,0.0,1.3140580189385522,0.17520278546505716,-0.955713832131703,109.62828177856612,75.79703907843088,-76.78989303291479,911.482100049618,-2038.0474990022572,-2188.280837134978,3126.1814165323767,1.1
2023-06-07 13:14:42.491056692-02:00,110.5037972,-0.08108860195,0.1536455315,0.4436225505,0.06402743608,-0.02084550261,0.02584153041,0,4.3,1,0,0.0,0.4764276209753671,0.3334131379265935,-0.17103394932438304,109.61250626380006,75.82833899960441,-76.70098932394981,933.5476803213419,-2022.7961104717892,-2203.7288577930603,3133.629884757143,1.1
2023-06-07 13:14:42.692918110-02:00,110.7050612,-0.5859354472,0.3345420116,0.8482779403,-0.04878889024,-0.0911411345,0.2416780889,0,4.3,1,0,0.0,1.0838884489699339,0.37565030079535844,-0.5711340809966664,109.49457855196253,75.89567026303243,-76.53026151257868,955.5849971790909,-2007.5210442921123,-2219.1316443462842,3141.310026891408,1.1
