"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686745242748308E9,"2023-06-14 14:20:42.748 UTC+02:00"
"PAUSE",1.999767259166692E2,1.686745442724375E9,"2023-06-14 14:24:02.724 UTC+02:00"
