"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.118542917E-1,-3.130738831E1,-3.217518616E1,5.698699951E0
4.131332917E-1,-3.431655884E1,-3.001517868E1,5.027191162E0
6.144122917E-1,-3.599440002E1,-2.805688477E1,5.495971680E0
8.156910417E-1,-3.581811523E1,-2.910567093E1,4.197723389E0
1.016970042E0,-3.660826111E1,-2.849855804E1,3.663024902E0
1.218249042E0,-3.702969360E1,-2.824813080E1,3.001647949E0
1.419528042E0,-3.689305115E1,-2.828657532E1,2.483551025E0
1.620807042E0,-3.700823975E1,-2.790916824E1,2.091186523E0
1.822087917E0,-3.648103333E1,-2.845841599E1,2.917053223E0
2.023366917E0,-3.614997864E1,-2.841357803E1,3.419250488E0
2.224645917E0,-3.583517456E1,-2.823053360E1,4.404266357E0
2.425925917E0,-3.587944031E1,-2.761535645E1,6.841003418E0
2.627204917E0,-3.544390869E1,-2.723600769E1,8.720306396E0
2.828483167E0,-3.588166809E1,-2.657892990E1,9.280822754E0
3.029763167E0,-3.665678406E1,-2.486773300E1,9.302307129E0
3.231042167E0,-3.696820068E1,-2.553859329E1,7.041259766E0
3.432321167E0,-3.644093323E1,-2.692512894E1,4.592864990E0
3.633600167E0,-3.459126282E1,-2.830395889E1,5.631835938E0
3.834879792E0,-3.157974243E1,-3.091913223E1,6.378601074E0
4.036158792E0,-3.041610718E1,-3.139519119E1,7.405181885E0
4.237437792E0,-3.045341492E1,-3.130836868E1,8.018280029E0
4.438717792E0,-3.082171631E1,-3.096998978E1,8.848968506E0
4.639996792E0,-3.006837463E1,-3.065772629E1,1.128234863E1
4.841276458E0,-2.653077698E1,-3.214546967E1,1.529101562E1
5.042555458E0,-2.593041992E1,-3.260393906E1,1.557788086E1
5.243834458E0,-2.558573914E1,-3.331142044E1,1.502456665E1
5.445114458E0,-2.437672424E1,-3.413679886E1,1.551049805E1
5.646393458E0,-2.369772339E1,-3.466219711E1,1.525567627E1
5.847673167E0,-2.423698425E1,-3.407290649E1,1.545220947E1
6.048952167E0,-2.677478027E1,-3.240489960E1,1.604397583E1
6.250232167E0,-3.001803589E1,-2.992063904E1,1.474935913E1
6.451511167E0,-3.358453369E1,-2.739647675E1,1.286007690E1
6.652790167E0,-3.350799561E1,-2.720408630E1,1.281549072E1
6.854069708E0,-3.411373901E1,-2.717344284E1,1.278952026E1
7.055348708E0,-3.325880432E1,-2.893365860E1,1.026403809E1
7.256627708E0,-3.217710876E1,-3.004314041E1,9.554809570E0
7.457906708E0,-3.188742065E1,-3.011770248E1,9.841217041E0
7.659185708E0,-3.169499207E1,-3.031600571E1,8.870483398E0
7.860465708E0,-2.895307922E1,-3.302295685E1,7.022430420E0
8.061744708E0,-2.557661438E1,-3.574851990E1,5.147399902E0
8.263023708E0,-2.441212463E1,-3.608828735E1,3.171386719E0
8.464302708E0,-2.586541748E1,-3.481967926E1,7.528686523E-1
8.665581708E0,-2.646556091E1,-3.419320679E1,-1.672943115E0
8.866860167E0,-2.780902100E1,-3.340182114E1,-4.685974121E-1
9.068138167E0,-2.911541748E1,-3.240767670E1,2.043151855E0
9.269417167E0,-2.954438782E1,-3.224181366E1,3.275573730E0
9.470696167E0,-2.798771667E1,-3.352657700E1,4.219573975E0
9.671975167E0,-2.637655640E1,-3.484307861E1,3.572662354E0
9.873253917E0,-2.506329346E1,-3.582093430E1,4.756286621E0
1.007453292E1,-2.298359680E1,-3.717246628E1,4.110107422E0
1.027581192E1,-1.977751160E1,-3.891158295E1,4.133544922E0
1.047709092E1,-1.431445312E1,-4.051021576E1,6.453277588E0
1.067836892E1,-6.555252075E0,-4.120610809E1,1.051092529E1
1.087964692E1,-4.745330811E-1,-3.957548141E1,1.649859619E1
1.108092592E1,4.030929565E0,-3.719953537E1,1.985336304E1
1.128220492E1,1.044705200E1,-3.702656555E1,1.770468140E1
1.148348392E1,1.262796021E1,-3.674402237E1,1.694549561E1
1.168476292E1,1.373188782E1,-3.654423141E1,1.596423340E1
1.188604179E1,1.311317444E1,-3.614016724E1,1.740966797E1
1.208732079E1,1.092810059E1,-3.532522202E1,2.015164185E1
1.228859979E1,9.431793213E0,-3.453255844E1,2.196166992E1
1.248987779E1,6.853973389E0,-3.645538712E1,2.030783081E1
1.269115679E1,4.330596924E0,-3.849446106E1,1.781341553E1
1.289243604E1,3.040664673E0,-3.931921387E1,1.628091431E1
1.309371504E1,2.826049805E0,-4.010288239E1,1.446276855E1
1.329499304E1,9.794921875E-1,-4.113195419E1,1.196438599E1
1.349627204E1,-8.147583008E-1,-4.155450058E1,1.073767090E1
1.369755104E1,-8.111877441E-1,-4.171736908E1,9.913970947E0
1.389882983E1,-6.535339355E-2,-4.210942841E1,9.891662598E0
1.410010883E1,-5.516052246E-2,-4.114609146E1,1.169119263E1
1.430138783E1,9.067230225E-1,-4.126799774E1,1.180245972E1
1.450266683E1,6.956787109E-1,-4.137034225E1,1.123477173E1
1.470394583E1,-7.748107910E-1,-4.133615875E1,1.161486816E1
1.490522621E1,-9.934539795E-1,-4.131183624E1,1.195327759E1
1.510650521E1,-9.930419922E-1,-4.138982010E1,1.196838379E1
1.530778521E1,-1.562728882E0,-4.173867798E1,1.043951416E1
1.550906421E1,-1.821792603E0,-4.232622147E1,7.164367676E0
1.571034421E1,-5.200744629E0,-4.247392273E1,5.223175049E0
1.591162317E1,-8.318344116E0,-4.197378159E1,4.087768555E0
1.611290217E1,-7.722656250E0,-4.195648956E1,5.297698975E0
1.631418217E1,-7.167892456E0,-4.229653931E1,3.200744629E0
1.651546117E1,-6.847167969E0,-4.232205200E1,1.347473145E0
1.671674117E1,-8.040435791E0,-4.184099960E1,-4.155487061E0
1.691802071E1,-8.000961304E0,-4.059460831E1,-9.851654053E0
1.711930071E1,-7.975326538E0,-3.918356705E1,-1.358007812E1
1.732058071E1,-7.181701660E0,-3.890005875E1,-1.469104004E1
1.752186071E1,-7.664718628E0,-3.841242599E1,-1.527478027E1
1.772314071E1,-9.053131104E0,-3.816197205E1,-1.544992065E1
1.792442171E1,-9.968185425E0,-3.741779709E1,-1.644375610E1
1.812570171E1,-1.033479309E1,-3.708779526E1,-1.645458984E1
1.832698171E1,-1.121275330E1,-3.747501373E1,-1.610137939E1
1.852826171E1,-1.298138428E1,-3.713453293E1,-1.589797974E1
1.872954117E1,-1.203578186E1,-3.781077576E1,-1.435754395E1
1.893082117E1,-8.201080322E0,-3.933521271E1,-1.178216553E1
1.913210217E1,-3.608840942E0,-4.062500000E1,-9.494628906E0
1.933338217E1,-5.236358643E-1,-4.065185165E1,-7.323120117E0
1.953466217E1,7.110595703E-2,-4.077612305E1,-6.621307373E0
1.973594254E1,5.791473389E-1,-4.065330887E1,-6.064270020E0
1.993722254E1,1.777664185E0,-4.074016953E1,-5.331726074E0
2.013850254E1,2.657440186E0,-4.075252151E1,-3.819641113E0
2.033978254E1,3.050765991E0,-4.086100388E1,-1.521453857E0
2.054106354E1,3.320205688E0,-4.053756332E1,-6.759948730E-1
2.074234304E1,3.586410522E0,-4.084821701E1,-1.141052246E-1
2.094362304E1,4.222824097E0,-4.080971146E1,2.413787842E0
2.114490304E1,5.316970825E0,-3.986598206E1,7.131835938E0
2.134618304E1,4.750381470E0,-3.901126480E1,1.127593994E1
2.154746404E1,1.064178467E0,-3.886696625E1,1.444091797E1
