"Time (s)","X (hPa)"
-5.438813333E-1,1.016375504E3
4.870436667E-1,1.016327057E3
1.518096667E0,1.016278534E3
2.549198667E0,1.016278534E3
3.580347667E0,1.016258316E3
4.611301667E0,1.016260300E3
4.751781667E0,1.016260300E3
5.706355667E0,1.016274338E3
6.661032667E0,1.016274338E3
7.615638667E0,1.016277618E3
8.570208667E0,1.016272430E3
9.524810667E0,1.016290894E3
1.047944867E1,1.016301880E3
1.143399067E1,1.016324463E3
1.238861367E1,1.016324463E3
1.334316467E1,1.016315689E3
1.429786767E1,1.016226349E3
1.525260467E1,1.016148682E3
1.620728567E1,1.016095886E3
1.716195467E1,1.016088257E3
1.811669767E1,1.016088257E3
1.907137967E1,1.016150665E3
2.002606267E1,1.016161270E3
2.098074867E1,1.016170349E3
2.193544967E1,1.016170197E3
2.289001667E1,1.016170197E3
2.384457467E1,1.016170197E3
2.479906567E1,1.016124039E3
2.575368867E1,1.016101837E3
2.670833867E1,1.016075134E3
2.766295767E1,1.016030350E3
2.861753567E1,1.016029129E3
2.957228567E1,1.016007690E3
3.052696167E1,1.016007690E3
3.148169767E1,1.016036072E3
3.243647767E1,1.016058197E3
3.339131567E1,1.016036072E3
3.434617767E1,1.016008530E3
3.530106767E1,1.016007767E3
3.625588367E1,1.016005249E3
3.721082767E1,1.015930786E3
3.816575967E1,1.015930786E3
3.912064867E1,1.015930786E3
4.007546567E1,1.015954056E3
4.103032367E1,1.015954056E3
4.198516367E1,1.015953903E3
4.294008467E1,1.015950928E3
4.389500967E1,1.015950928E3
4.484987167E1,1.015911179E3
4.580486767E1,1.015835266E3
4.675972867E1,1.015809860E3
4.771464867E1,1.015809860E3
4.866959867E1,1.015804443E3
4.962441167E1,1.015826721E3
5.057933667E1,1.015859680E3
5.153423067E1,1.015859680E3
5.248922367E1,1.015880814E3
5.344416367E1,1.015904541E3
5.439910267E1,1.015904541E3
5.535404867E1,1.015809937E3
5.630896467E1,1.015809937E3
5.726401767E1,1.015791016E3
5.821903067E1,1.015782471E3
5.917398567E1,1.015782471E3
6.012893967E1,1.015792389E3
6.108396167E1,1.015792389E3
6.203895267E1,1.015734253E3
6.299399667E1,1.015734253E3
6.394909167E1,1.015850372E3
6.490413167E1,1.015850372E3
6.585908267E1,1.015727386E3
6.681415367E1,1.015727386E3
6.776914867E1,1.015727386E3
6.872419567E1,1.015637817E3
6.967935367E1,1.015637817E3
7.063446567E1,1.015685959E3
7.158963367E1,1.015686035E3
7.254477267E1,1.015686035E3
7.349992867E1,1.015676041E3
7.445511967E1,1.015663376E3
7.541035067E1,1.015646210E3
7.636556967E1,1.015618973E3
7.732086067E1,1.015618973E3
7.827611267E1,1.015604095E3
7.923127167E1,1.015613327E3
