"Time (s)","X (hPa)"
-5.323101667E-1,1.017564850E3
4.965008333E-1,1.018232422E3
1.525298833E0,1.018899918E3
2.554161833E0,1.018899918E3
3.583030833E0,1.018060074E3
4.611892833E0,1.017714615E3
4.755581833E0,1.017714615E3
5.708229833E0,1.017370605E3
6.660911833E0,1.017370605E3
7.613534833E0,1.017692490E3
8.566152833E0,1.017703094E3
9.518810833E0,1.017703094E3
1.047139683E1,1.018228760E3
1.142407983E1,1.018228760E3
1.237671583E1,1.017845764E3
1.332932983E1,1.017845764E3
1.428189283E1,1.017845764E3
1.523457383E1,1.017669220E3
1.618713683E1,1.017669220E3
1.713967083E1,1.017784500E3
1.809226083E1,1.017877579E3
1.904497483E1,1.017895355E3
1.999762683E1,1.017895355E3
2.095021783E1,1.017773819E3
2.190270683E1,1.017535095E3
2.285534883E1,1.017509918E3
2.380806483E1,1.017496109E3
2.476070283E1,1.017496109E3
2.571336083E1,1.017556381E3
2.666599383E1,1.017840729E3
2.761865783E1,1.017897339E3
2.857139083E1,1.018017654E3
2.952402483E1,1.018017654E3
3.047682483E1,1.017877808E3
3.142949283E1,1.017782974E3
3.238214983E1,1.017648773E3
3.333497683E1,1.017520523E3
3.428777783E1,1.017518921E3
3.524045483E1,1.017385483E3
3.619311783E1,1.017385483E3
3.714580883E1,1.017708130E3
3.809840683E1,1.017732239E3
3.905113883E1,1.017736969E3
4.000385583E1,1.017855377E3
4.095645683E1,1.017855377E3
4.190905183E1,1.017882309E3
4.286171383E1,1.017858734E3
4.381436083E1,1.017858734E3
4.476702483E1,1.017654572E3
4.571978883E1,1.017574310E3
4.667257983E1,1.017521362E3
4.762535983E1,1.017574310E3
4.857823783E1,1.017654572E3
4.953111383E1,1.017654572E3
5.048396583E1,1.017654572E3
5.143655283E1,1.017594299E3
5.238930283E1,1.017530823E3
5.334201683E1,1.017470779E3
5.429471983E1,1.017470779E3
5.524744283E1,1.017527466E3
5.620016083E1,1.017648163E3
5.715288683E1,1.017648163E3
5.810573283E1,1.017859116E3
5.905841083E1,1.017859116E3
6.001109083E1,1.017370758E3
