"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686756147458487E9,"2023-06-14 17:22:27.458 UTC+02:00"
"PAUSE",1.061977198333334E2,1.686756253655644E9,"2023-06-14 17:24:13.656 UTC+02:00"
