"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686150901794020E9,"2023-06-07 17:15:01.794 UTC+02:00"
"PAUSE",1.182155368750100E2,1.686151020009257E9,"2023-06-07 17:17:00.009 UTC+02:00"
