"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686152287042686E9,"2023-06-07 17:38:07.043 UTC+02:00"
"PAUSE",1.150596035416529E2,1.686152402101887E9,"2023-06-07 17:40:02.102 UTC+02:00"
