"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.751272754E1,-1.365212053E-1,-8.592222929E-1,-2.688687481E-2
1.771402654E1,-2.578643709E-2,-5.066925287E-1,-6.772432476E-2
1.791532317E1,-2.785215154E-2,-1.290372163E-1,-2.599161351E-3
1.811662217E1,-2.882032990E-1,-9.982200861E-1,1.342032999E-1
1.831792117E1,3.002071381E-1,4.265216589E-1,6.569750309E-1
1.851921917E1,9.868515730E-1,3.860822916E-1,4.667590559E-1
1.872051717E1,9.923782349E-1,9.426264167E-1,-4.046936631E-1
1.892181758E1,7.441011071E-1,5.655201674E-1,-3.326090872E-1
1.912311558E1,2.205483615E-1,1.158286929E-1,-1.504246742E-1
1.932441358E1,3.161282837E-2,-3.133865595E-1,3.180609643E-2
1.952571158E1,-2.348309457E-1,-4.384988546E-1,7.611431181E-2
1.972700958E1,1.603520364E-1,2.581329644E-1,2.659963071E-1
1.992830679E1,7.003651559E-2,6.386491060E-1,1.678542942E-1
2.012960479E1,-1.269049197E-2,3.003977537E-1,-8.311114460E-2
2.033090279E1,-1.005973071E-1,5.028816685E-2,9.690684080E-2
2.053220079E1,-1.592059284E-1,2.084244937E-1,1.027214602E-1
2.073349879E1,-1.014335677E-1,2.730017900E-1,6.206559390E-2
2.093479708E1,-6.951624155E-1,9.299336374E-2,8.519921452E-2
2.113609408E1,-4.716324806E-1,1.519043297E-1,1.974106431E-1
2.133739208E1,1.472267658E-1,3.924801052E-1,4.166618288E-1
2.153869008E1,5.729103833E-2,9.452290833E-2,1.672585011E-1
2.173998808E1,6.162855774E-2,2.966246605E-1,-2.330027707E-2
2.194128633E1,8.628058434E-2,6.470204145E-2,1.464729011E-1
2.214258433E1,9.008269757E-2,2.256735414E-1,3.448803350E-2
2.234388233E1,2.763768137E-1,5.114346743E-1,-5.466684699E-3
2.254518033E1,2.850198150E-1,9.816141129E-1,4.790617228E-1
2.274647833E1,5.424610376E-1,8.411101699E-1,2.749210000E-1
2.294777629E1,1.851901263E-1,6.401100755E-1,2.310291976E-1
2.314907429E1,1.955608577E-1,4.535986111E-2,-1.780053228E-1
2.335037329E1,-5.197705701E-2,-5.701698065E-1,-2.180566639E-1
2.355167129E1,-4.026165605E-1,-1.567572117E0,-3.589788973E-1
2.375296929E1,-3.818553984E-1,-1.684702039E0,-4.142596424E-1
2.395426629E1,3.441345990E-1,-1.012110591E0,1.401140690E-1
2.415556529E1,-2.622541785E-1,-7.749068141E-1,-1.857429892E-1
2.435686329E1,-2.316336781E-1,-9.413453937E-1,-5.652352422E-2
2.455816229E1,-7.213100791E-1,-1.116253853E0,-1.404491663E-1
2.475946129E1,-2.684094906E-1,-3.973614275E-1,2.960280748E-3
2.496076092E1,2.457073890E-2,-3.021597397E-3,1.253784299E-1
2.516205992E1,7.669331133E-2,1.485595226E0,2.851268090E-2
2.536335792E1,-4.989499152E-1,1.000548601E0,2.607055753E-2
2.556465692E1,-4.086487591E-1,7.447814941E-1,4.040121287E-2
2.576595592E1,-1.277657300E-1,6.799841523E-1,-2.035474479E-1
2.596725508E1,1.104566008E-1,5.726045966E-1,-2.336777449E-1
2.616855408E1,5.298258662E-1,2.326642126E-1,-3.127445877E-1
2.636985308E1,7.304078937E-1,-4.615892470E-1,-3.457230330E-1
2.657115308E1,1.505577415E-1,-3.889972270E-1,-1.704970300E-1
2.677245208E1,2.550919354E-1,-6.653657556E-1,-1.160826236E-1
2.697375058E1,1.937038004E-1,-9.080128372E-2,2.123940736E-2
2.717504958E1,-3.821909428E-2,-1.689438969E-1,3.524468839E-2
2.737634858E1,-1.350445002E-1,3.562577665E-1,3.336244822E-1
2.757764858E1,-2.219873220E-1,9.146289229E-1,1.348233074E-1
2.777894658E1,-3.066012561E-1,5.352189541E-1,2.755593061E-1
2.798024608E1,9.595683217E-2,5.493490696E-1,5.749154091E-1
2.818154508E1,1.902227253E-1,5.750147104E-1,5.748957396E-1
2.838284408E1,2.158910781E-1,-6.573829055E-2,2.818751633E-1
2.858414308E1,-1.787944585E-1,1.872806102E-1,-1.287250221E-1
2.878544208E1,6.854982674E-2,1.109107435E-1,9.703939408E-2
2.898674154E1,2.406387925E-1,-1.178792641E-1,1.797128022E-1
2.918804054E1,1.079880446E-1,3.357052431E-2,4.754152894E-2
2.938933954E1,-7.797414064E-2,7.817917317E-2,-2.260198593E-1
2.959063854E1,1.076083034E-1,8.247341961E-2,-4.471755028E-2
2.979193754E1,3.898121044E-2,-3.972259816E-3,4.096316174E-3
2.999323529E1,-1.628815234E-1,-1.984406114E-1,7.623203099E-2
3.019453429E1,-2.260908633E-1,-1.999145746E-1,-9.875676036E-2
3.039583329E1,-5.989749432E-1,2.932404578E-1,2.363273315E-2
3.059713229E1,-3.542263806E-1,-1.553416252E-1,-3.248025179E-1
3.079843129E1,-7.429773360E-2,-8.459475636E-1,-6.396560669E-1
3.099973017E1,2.111673057E-1,-6.051869988E-1,-5.293586850E-1
3.120102917E1,2.666860819E-1,-9.969992042E-1,-1.665325910E-1
3.140232917E1,1.963042617E-1,-4.091863036E-1,2.094810009E-1
3.160362817E1,3.064725995E-1,-8.429742455E-1,1.220081523E-1
3.180492717E1,5.037131310E-1,1.604345292E-1,1.550318152E-1
3.200622658E1,4.135439694E-1,1.542815268E-1,-1.982749850E-1
3.220752558E1,1.172696277E-1,-3.905659914E-1,-2.244698405E-1
3.240882458E1,-2.233006656E-1,-3.846658468E-1,-1.215882134E-2
3.261012258E1,-1.843792349E-1,-5.969997048E-1,-1.198779568E-1
3.281142158E1,1.773737371E-2,-4.469787776E-1,-7.148656249E-2
3.301272083E1,-2.231826782E-1,-1.182091385E-1,-1.139690205E-1
3.321401983E1,6.526042707E-4,6.377866864E-2,-1.835455187E-3
3.341531883E1,4.030213878E-2,1.275783777E-1,-2.301547825E-1
3.361661783E1,-3.245202452E-2,-6.556100398E-2,-9.207235277E-2
3.381791683E1,3.526417166E-2,-3.486458659E-1,6.568337977E-2
3.401921729E1,-1.704304069E-1,-1.068280697E0,1.059421152E-1
3.422051629E1,-2.184882760E-1,-2.739658058E-1,1.616030633E-1
3.442181529E1,2.781355381E-1,2.486217767E-1,5.358316377E-2
3.462311429E1,4.657284915E-1,4.380496442E-1,-4.315179586E-2
3.482441429E1,3.751719594E-1,5.863311887E-1,-1.889350116E-1
3.502571304E1,3.237236142E-1,4.941740930E-1,-1.640822887E-1
3.522701304E1,3.794927299E-1,8.961066604E-1,1.009194106E-1
3.542831304E1,1.249688715E-1,1.348105192E0,3.752257675E-2
3.562961204E1,-1.150485873E-1,1.029575825E0,2.871695459E-1
3.583091104E1,-7.570493221E-2,2.406299859E-1,3.120523393E-1
3.603221096E1,2.232541516E-2,3.364729881E-2,-1.415777802E-1
3.623350996E1,-4.020416178E-3,-3.090741634E-1,-8.227851987E-2
3.643480996E1,-4.828710109E-2,-1.099971384E-1,-2.692891285E-2
3.663610896E1,-8.648210019E-2,-4.103967845E-1,-1.374787465E-2
3.683740796E1,2.294237912E-1,-2.918090224E-1,7.520788908E-2
3.703870767E1,-1.043739468E-1,9.158365130E-1,3.444817662E-1
3.724000667E1,2.126406506E-2,1.354879234E-3,2.252961546E-1
3.744130567E1,3.087318838E-1,-4.555821121E-1,-4.372313023E-1
3.764260467E1,1.625307277E-2,-2.633041143E-1,4.594217241E-2
3.784390467E1,-2.063138597E-2,-3.294656575E-1,1.790104806E-1
3.804520442E1,-1.113757342E-1,-2.236969322E-1,1.358183026E-1
3.824650342E1,-8.733976632E-2,-2.381373197E-1,1.679306179E-1
3.844780242E1,5.127011612E-2,5.079952478E-1,1.266268194E-1
3.864910142E1,-3.207783997E-1,1.298631787E0,3.546519578E-1
3.885040042E1,1.096511185E-1,-5.087440610E-1,9.088197351E-2
3.905169967E1,-2.970616221E-1,-1.267318130E-1,-1.510107517E-1
3.925299867E1,-2.223872691E-1,-2.259386927E-1,-6.640857458E-2
3.945429767E1,-3.881325200E-2,1.288906485E-1,-1.580094695E-1
3.965559667E1,1.385137290E-1,1.049665660E-1,-1.217283681E-1
3.985689567E1,-1.803426072E-3,3.594783321E-2,-1.559448838E-1
4.005819492E1,1.388897374E-2,-7.735842466E-2,-1.588506401E-1
4.025949492E1,-8.944860101E-2,-3.542048037E-1,-6.233723462E-2
4.046079392E1,-2.818581164E-1,-9.362930655E-1,1.274768710E-1
4.066209292E1,-3.494410217E-1,-4.932677448E-1,-1.288512498E-1
4.086339192E1,-2.995916307E-1,-2.566918433E-1,-1.377937384E-3
4.106469079E1,-1.005405933E-1,3.250102401E-1,6.537207961E-2
4.126598979E1,-1.036755219E-1,1.507764459E-1,4.887579754E-2
4.146728979E1,-6.290472299E-2,2.458324879E-1,-2.073539048E-2
4.166858879E1,9.528873488E-3,-9.069358930E-5,8.462791890E-2
4.186988779E1,-6.822833419E-2,1.715750098E-1,9.854488820E-2
4.207118629E1,-2.625804842E-1,6.611740589E-1,8.533509076E-2
4.227248529E1,-1.076582819E-1,4.753016829E-1,-7.134799659E-2
4.247378429E1,-4.238434881E-2,9.272254705E-1,-6.884458009E-3
4.267508429E1,-1.652903706E-1,9.019916058E-1,3.940774128E-3
4.287638329E1,4.691751897E-1,2.591868937E-1,-1.187280416E-1
4.307768217E1,1.065531015E0,-4.006341696E-1,-1.790915579E-1
4.327898117E1,7.822095156E-1,-5.243598819E-1,-2.686949074E-2
4.348028017E1,1.596903205E-1,-8.261315227E-1,5.230930075E-2
4.368157917E1,1.220501289E-1,-1.034610629E0,7.234510034E-2
4.388287917E1,-3.377960995E-2,-3.819848895E-1,1.849085689E-1
4.408417879E1,-1.950410008E-1,-1.871214658E-1,-2.258315384E-1
4.428547779E1,-1.518487185E-2,1.515432596E-1,-1.031865925E-1
4.448677679E1,3.573815897E-2,-6.136742234E-2,7.001441717E-2
4.468807479E1,3.766976297E-1,2.844955027E-1,-2.112764865E-3
4.488937379E1,2.530104220E-1,8.299595863E-2,7.336364686E-2
4.509067304E1,1.377026886E-1,-4.455650225E-2,4.181756452E-2
4.529197204E1,-2.644136548E-1,3.391765058E-1,2.426858842E-1
4.549327104E1,-1.170285463E0,-5.824841261E-1,-1.685835868E-1
4.569456904E1,-7.104607224E-1,3.649621010E-1,2.342388332E-1
4.589586804E1,8.410164714E-2,3.634760678E-1,-7.758083940E-2
4.609716629E1,6.517909467E-3,3.195879757E-1,-2.905750461E-2
4.629846529E1,-1.456974819E-2,-6.940506399E-2,1.359456778E-1
4.649976329E1,-1.637591124E-1,4.416851699E-1,2.221029848E-1
4.670106229E1,-3.362160921E-1,4.059530199E-1,2.111827433E-1
4.690236029E1,-2.299177945E-1,-4.814350978E-2,2.249956876E-1
4.710365779E1,-9.785146117E-1,7.508207560E-1,5.206925869E-1
4.730495579E1,4.696500897E-1,4.494397938E-1,1.009787098E-1
4.750625379E1,-7.027174532E-2,4.273506403E-1,2.325131595E-1
4.770755279E1,2.089642920E-2,3.645438552E-1,-9.251392633E-2
