,entry_num,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s).1,X (rad/s),Y (rad/s),Z (rad/s),name_climber,grading,num_attempt,fall_top,climbers_rating
32,15,1970-01-01 00:00:06.643688500,-0.6034806025,1.493209308,0.6559234026,6.6436885,-0.3053120971,-0.9161682129,-0.5780434012,sien,4c,1,0,easy
33,15,1970-01-01 00:00:06.844983500,-0.6483752319,-0.4858621055,-0.8191246001,6.8449835,-0.8116765022,-0.9816757441,-0.5551351905,sien,4c,1,0,easy
34,15,1970-01-01 00:00:07.046277500,0.8716536467,0.3769226307,0.3223593744,7.0462775,-0.6215037704,-1.06761539,-0.5997107625,sien,4c,1,0,easy
35,15,1970-01-01 00:00:07.247572958,0.591269789,-1.119007972,0.3632278669,7.247572958,0.2877741456,-0.04292991757,-0.4035215676,sien,4c,1,0,easy
36,15,1970-01-01 00:00:07.448867958,-0.3025474911,0.357889359,-0.007470548898,7.448867958,0.4561154842,0.1465567052,-0.3109643757,sien,4c,1,0,easy
37,15,1970-01-01 00:00:07.650162958,-0.180989999,-0.361868974,0.9022068103,7.650162958,0.2631561756,-0.3016077578,0.1224422082,sien,4c,1,0,easy
38,15,1970-01-01 00:00:07.851456958,0.06807416171,0.3175453252,0.01901280642,7.851456958,-0.1848700941,-0.5851260424,0.3904736638,sien,4c,1,0,easy
39,15,1970-01-01 00:00:08.052751958,0.4956811155,0.04453941107,-0.3173121674,8.052751958,-0.06418162584,-0.1786720455,0.3481432199,sien,4c,1,0,easy
40,15,1970-01-01 00:00:08.254046833,0.4887235866,0.06067187905,-0.1825955348,8.254046833,-0.0280040279,-0.06029555202,0.2607089877,sien,4c,1,0,easy
41,15,1970-01-01 00:00:08.455341833,0.6713157593,0.5054426765,-0.5130395253,8.455341833,0.1191722527,0.113833569,0.08933804929,sien,4c,1,0,easy
42,15,1970-01-01 00:00:08.656636833,0.02796840191,-0.05649930596,-0.5131949151,8.656636833,0.3107292354,-0.07021667063,0.07165770978,sien,4c,1,0,easy
43,15,1970-01-01 00:00:08.857931833,0.1369830135,-0.1164554858,0.2190086317,8.857931833,0.004773446824,-0.2062334269,0.1573672891,sien,4c,1,0,easy
44,15,1970-01-01 00:00:09.059225833,-0.7954683736,-1.174427882,1.938838185,9.059225833,0.467641741,-0.3132018745,-0.1423705965,sien,4c,1,0,easy
45,15,1970-01-01 00:00:09.260520750,-0.1500817998,0.08366663933,-0.4166111916,9.26052075,0.3572078347,0.295147866,0.0733088553,sien,4c,1,0,easy
46,15,1970-01-01 00:00:09.461815750,-0.5399254614,0.2948914576,0.1179342467,9.46181575,0.2608338594,0.2193806618,0.511344552,sien,4c,1,0,easy
47,15,1970-01-01 00:00:09.663110750,0.006360308826,-0.1837762338,0.1731015569,9.66311075,0.1284985542,0.2014279068,0.2837778628,sien,4c,1,0,easy
48,15,1970-01-01 00:00:09.864405750,0.2846231622,0.3299993098,0.3292558363,9.86440575,-0.1100016981,0.1696252078,0.2830013931,sien,4c,1,0,easy
49,15,1970-01-01 00:00:10.065701080,0.5466655469,0.3752555895,-0.4697021556,10.06570108,-0.1860554516,-0.5107659101,0.07598391175,sien,4c,1,0,easy
50,15,1970-01-01 00:00:10.266996080,0.7224556535,-0.4767223227,0.5733174482,10.26699608,-0.1459651589,-0.2273148745,0.04421414435,sien,4c,1,0,easy
51,15,1970-01-01 00:00:10.468291080,1.058713531,1.104329706,-0.06317214847,10.46829108,-0.1950335354,-0.08136363328,0.2795684636,sien,4c,1,0,easy
52,15,1970-01-01 00:00:10.669587080,1.178488481,-0.3731336349,-0.1822632667,10.66958708,-0.3379639387,0.5443767309,0.6011080742,sien,4c,1,0,easy
53,15,1970-01-01 00:00:10.870882080,0.5407130814,-0.3380661285,-0.4739086425,10.87088208,-0.5131959319,0.1806039959,0.4856026173,sien,4c,1,0,easy
54,15,1970-01-01 00:00:11.072176580,-0.6359542841,-0.8194135988,-0.541028831,11.07217658,-0.0621239692,-0.09065907449,0.1518782675,sien,4c,1,0,easy
55,15,1970-01-01 00:00:11.273472580,-0.09126275718,0.06011171579,0.1345046711,11.27347258,0.2194163352,-0.08938260376,-0.05721156672,sien,4c,1,0,easy
56,15,1970-01-01 00:00:11.474767580,1.440050517,-0.01765332878,0.4733274293,11.47476758,0.1374601126,0.1623342335,0.06009108946,sien,4c,1,0,easy
