"Time (s)","Distance (cm)"
2.039630833E-1,5.000000000E0
4.039630833E-1,5.000000000E0
6.039630833E-1,0.000000000E0
8.039630833E-1,0.000000000E0
1.003963083E0,0.000000000E0
1.203963083E0,0.000000000E0
1.403963083E0,0.000000000E0
1.603963083E0,0.000000000E0
1.803963083E0,0.000000000E0
2.003963083E0,0.000000000E0
2.203963083E0,0.000000000E0
2.403963083E0,0.000000000E0
2.603963083E0,0.000000000E0
2.803963083E0,0.000000000E0
3.003963083E0,0.000000000E0
3.203963083E0,0.000000000E0
3.403963083E0,0.000000000E0
3.603963083E0,0.000000000E0
3.803963083E0,0.000000000E0
4.003963083E0,0.000000000E0
4.203963083E0,0.000000000E0
4.403963083E0,0.000000000E0
4.603963083E0,0.000000000E0
4.803963083E0,0.000000000E0
5.003963083E0,0.000000000E0
5.203963083E0,0.000000000E0
5.403963083E0,0.000000000E0
5.603963083E0,0.000000000E0
5.803963083E0,0.000000000E0
6.003963083E0,0.000000000E0
6.203963083E0,0.000000000E0
6.403963083E0,0.000000000E0
6.603963083E0,0.000000000E0
6.803963083E0,0.000000000E0
7.003963083E0,0.000000000E0
7.203963083E0,0.000000000E0
7.403963083E0,0.000000000E0
7.603963083E0,0.000000000E0
7.803963083E0,0.000000000E0
8.003963083E0,0.000000000E0
8.203963083E0,0.000000000E0
8.403963083E0,0.000000000E0
8.603963083E0,0.000000000E0
8.803963083E0,0.000000000E0
9.003963083E0,0.000000000E0
9.203963083E0,0.000000000E0
9.403963083E0,0.000000000E0
9.603963083E0,0.000000000E0
9.803963083E0,5.000000000E0
1.000396308E1,5.000000000E0
1.020396308E1,5.000000000E0
1.040396308E1,5.000000000E0
1.060396308E1,5.000000000E0
1.080396308E1,5.000000000E0
1.100396308E1,5.000000000E0
1.120396308E1,5.000000000E0
1.140396308E1,5.000000000E0
1.160396308E1,5.000000000E0
1.180396308E1,5.000000000E0
1.200396308E1,5.000000000E0
1.220396308E1,5.000000000E0
1.240396308E1,5.000000000E0
1.260396308E1,5.000000000E0
1.280396308E1,5.000000000E0
1.300396308E1,5.000000000E0
1.320396308E1,5.000000000E0
1.340396308E1,5.000000000E0
1.360396308E1,5.000000000E0
1.380396308E1,5.000000000E0
1.400396308E1,5.000000000E0
1.420396308E1,5.000000000E0
1.440396308E1,5.000000000E0
1.460396308E1,5.000000000E0
1.480396308E1,5.000000000E0
1.500396308E1,5.000000000E0
1.520396308E1,5.000000000E0
1.540396308E1,5.000000000E0
1.560396308E1,5.000000000E0
1.580396308E1,5.000000000E0
1.600396308E1,5.000000000E0
1.620396308E1,5.000000000E0
1.640396308E1,5.000000000E0
1.660396308E1,5.000000000E0
1.680396308E1,0.000000000E0
1.700396308E1,0.000000000E0
1.720396308E1,0.000000000E0
1.740396308E1,0.000000000E0
1.760396308E1,0.000000000E0
1.780396308E1,0.000000000E0
1.800396308E1,0.000000000E0
1.820396308E1,0.000000000E0
1.840396308E1,0.000000000E0
1.860396308E1,0.000000000E0
1.880396308E1,0.000000000E0
1.900396308E1,0.000000000E0
1.920396308E1,0.000000000E0
1.940396308E1,0.000000000E0
1.960396308E1,0.000000000E0
1.980396308E1,0.000000000E0
2.000396308E1,0.000000000E0
2.020396308E1,5.000000000E0
