"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.233580833E-1,-1.823180914E-2,-4.742785394E-1,-4.034747928E-2
3.246529583E-1,4.238129854E-1,-2.122572809E-1,2.790079713E-1
5.259469583E-1,-9.211873263E-2,-1.499584019E-1,1.059310883E-1
7.272409583E-1,1.440006196E-1,2.309695072E-2,-1.221603826E-1
9.285349583E-1,1.344636232E-1,-2.515530884E-1,1.912481785E-1
1.129828958E0,1.537473202E-1,-8.046573400E-1,9.663444757E-2
1.331123375E0,5.145359784E-2,4.027234316E-1,-2.195977569E-1
1.532417375E0,-9.200157970E-2,7.787756920E-1,-1.321969181E-1
1.733711375E0,2.707967535E-2,4.077866673E-1,8.677411079E-2
1.935005375E0,7.703047246E-2,2.291619033E-2,1.541205198E-1
2.136299375E0,-4.243404418E-2,-8.840200305E-2,3.095842153E-2
2.337592583E0,-3.721208870E-2,-2.274507582E-1,1.381979436E-1
2.538887583E0,-4.971344769E-2,-4.269353300E-2,1.027873680E-1
2.740181583E0,4.491114244E-2,4.408940673E-2,1.153891906E-1
2.941475583E0,-2.858221531E-2,6.587507576E-2,9.463132918E-2
3.142770583E0,-3.153591752E-1,2.212932706E-2,2.230476029E-2
3.344066375E0,1.650677025E-1,2.954070270E-1,4.650554657E-1
3.545360375E0,1.804173887E-1,-3.369662166E-1,3.838879168E-1
3.746655375E0,-5.505602956E-1,4.116060734E-1,1.240461171E-1
3.947950375E0,-1.528043598E-1,-5.484179854E-1,3.895121813E-1
4.149245375E0,-1.329974234E-1,-6.969067454E-1,2.814046480E-2
4.350540583E0,-2.289505452E-1,3.241162375E-2,-1.836810857E-1
4.551835583E0,4.421886206E-1,-4.191769660E-1,-5.456435084E-1
4.753130583E0,3.653261364E-1,-9.334247112E-1,-2.858279943E-1
4.954426583E0,2.203984857E-1,-8.236268759E-1,-2.227494121E-1
5.155721583E0,-4.007815197E-2,-1.461391002E-1,-1.078484207E-2
5.357018000E0,1.086784005E-1,-2.321351022E-1,1.238021404E-1
5.558314000E0,-7.895288616E-2,8.170516044E-2,-1.793484017E-2
5.759609000E0,-2.389644980E-1,-4.856986701E-1,2.358750105E-1
5.960905000E0,-2.863770127E-1,-6.411008835E-1,-4.005497098E-1
6.162201000E0,-3.548251688E-1,-2.284308523E-1,-3.340841830E-1
6.363496333E0,9.621004760E-2,3.278975189E-1,-2.722182870E-1
6.564792333E0,4.386526346E-2,-6.051656008E-1,-2.266947627E-1
6.766088333E0,1.187445223E-1,-1.408215053E-2,-1.524756849E-2
6.967383333E0,-2.987311184E-1,4.905836582E-1,3.580702841E-1
7.168679333E0,-2.470329851E-1,-2.123903483E-1,4.111496806E-1
7.369974750E0,-2.034713328E-1,-2.070713788E-1,2.246662825E-1
7.571270750E0,9.959444404E-3,7.359714061E-2,1.522217505E-2
7.772566750E0,1.331605613E-1,-1.854745150E-1,7.458806038E-2
7.973862750E0,-5.167193711E-2,-2.569394112E-1,-1.176380441E-1
8.175158750E0,7.658766210E-2,-7.524917834E-3,-6.026854739E-3
8.376454583E0,1.445333511E-1,-1.083689779E-1,-6.563420594E-2
8.577750583E0,3.918191493E-1,-1.518299244E-2,-1.149111763E-1
8.779046583E0,5.524129272E-1,3.194103837E-1,-2.849746943E-1
8.980343583E0,3.310420811E-1,-5.194624886E-3,-3.322099149E-1
9.181639583E0,-2.329852879E-1,5.664125830E-2,-4.278435186E-2
9.382936333E0,-4.808374643E-1,-4.860819876E-2,1.226350144E-1
9.584232333E0,-3.569417596E-1,3.524496257E-1,1.727354378E-1
9.785529333E0,-4.453239143E-1,6.571726203E-1,1.165845394E-1
9.986825333E0,-1.777764112E-1,3.431327939E-1,1.522454172E-1
1.018812233E1,-2.376543730E-2,3.054231405E-1,2.437135726E-1
1.038941808E1,4.895063117E-2,-1.712224819E-2,4.400966689E-2
1.059071408E1,9.849394858E-2,-2.195814252E-1,-2.096317522E-2
1.079201108E1,2.465202659E-1,-2.799972147E-2,2.271885425E-2
1.099330708E1,1.350514293E-1,2.190762162E-1,-4.128873348E-2
1.119460408E1,-1.119364128E-1,3.573544323E-2,4.096386489E-3
1.139589921E1,1.345666312E-2,-3.931939900E-1,4.106476158E-2
1.159719621E1,-4.735063761E-2,-1.974858046E-1,-2.057810128E-2
1.179849321E1,1.306462474E-2,1.028803140E-1,7.708751364E-4
1.199978921E1,3.019351885E-2,-1.262661070E-2,-6.711836904E-2
1.220108621E1,8.832436800E-2,-6.131374836E-2,-1.225816905E-1
1.240238521E1,4.408911988E-2,-3.925552070E-1,-1.125982702E-1
1.260368221E1,-3.629869223E-1,-6.685596704E-2,9.683435410E-2
1.280497921E1,-1.091704220E-1,-1.842935085E-1,-2.540357970E-2
1.300627621E1,-2.082342952E-1,2.287809104E-1,-8.420082927E-2
1.320757321E1,-4.403039217E-1,2.499612093E0,-4.724567011E-2
1.340886858E1,-9.430956841E-2,1.564627171E0,-1.431994736E-1
1.361016558E1,4.478955269E-1,1.518785954E-1,-2.352428585E-1
1.381146258E1,5.640445948E-1,-1.572497040E-1,1.154525578E-1
1.401275958E1,1.558602229E-2,4.364109784E-2,2.429173887E-1
1.421405558E1,1.377482116E-1,-4.173065722E-1,9.784793854E-2
1.441535308E1,-1.828892976E-1,3.393727243E-1,-1.163842082E-1
1.461665008E1,-4.026426375E-1,6.908737421E-1,-5.068753958E-1
1.481794708E1,-1.518931985E-1,4.517391026E-1,2.768469751E-1
1.501924308E1,-5.596135184E-2,-4.916552603E-1,1.073938385E-1
1.522054008E1,-1.638567597E-1,-4.037059844E-1,-4.584850669E-1
1.542183575E1,3.167580441E-2,3.720194399E-1,-3.334858418E-1
1.562313275E1,1.280788481E-1,5.523865670E-2,-3.516521752E-1
1.582442875E1,1.431281120E-1,5.365995225E-3,1.053345203E-1
1.602572575E1,8.985082060E-2,-3.561725840E-2,5.984507129E-2
1.622702175E1,-3.409147263E-1,5.979866982E-1,1.795809120E-1
1.642831825E1,-7.724394798E-1,-5.022543017E-3,-9.806108475E-2
1.662961425E1,-4.227049351E-1,1.777696311E-1,1.465966105E-1
1.683091125E1,2.366311252E-1,-5.025631934E-2,4.005299509E-2
1.703220725E1,2.279617339E-1,-3.198880553E-1,-3.241380155E-1
1.723350325E1,2.947835028E-1,-1.876424104E-1,-5.145074800E-2
