"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.990456666E-1,3.910210133E-1,1.064082503E0,4.819576144E-1
4.003206666E-1,8.275265247E-2,1.172532916E0,1.772440821E-1
6.015946667E-1,-2.192003578E-1,1.663350761E-1,-2.812155522E-2
8.028671666E-1,-4.113075882E-2,-4.523703456E-1,-2.014948875E-1
1.004141167E0,-2.045162916E-1,-9.692601562E-1,-1.854336448E-2
1.205415167E0,-1.146988511E0,-1.720007539E0,-4.823213518E-1
1.406689167E0,-1.755185127E-1,-1.447950244E0,-2.109147906E-1
1.607963167E0,7.211412489E-2,-4.448603690E-1,-4.531145096E-1
1.809237667E0,3.083354235E-1,-3.880078206E-3,-2.345861048E-1
2.010511667E0,-3.317707479E-1,-2.015619278E-1,-5.664453655E-2
2.211785667E0,-4.152977839E-2,6.540307999E-1,1.400859654E-1
2.413059667E0,-7.398868799E-1,-3.738100827E-1,1.452498585E-1
2.614333667E0,-4.551270306E-1,-3.228524327E-1,-9.173023701E-2
2.815607542E0,-2.671369016E-1,1.726731658E-1,-9.424476326E-2
3.016881542E0,-8.173316717E-2,9.135022759E-2,9.823107719E-2
3.218155542E0,2.580934167E-1,3.979974687E-1,-9.320481867E-2
3.419429542E0,-1.043072104E0,1.390168786E0,7.196061313E-2
3.620704542E0,3.916459084E-1,-8.022833616E-2,2.008009516E-2
3.821977542E0,4.638608694E-1,8.743762970E-1,-9.757411480E-2
4.023251542E0,1.230779365E-1,8.011775017E-1,-1.880304217E-1
4.224525542E0,3.520557880E-1,1.532156318E-1,-4.081552923E-1
4.425799542E0,6.312298179E-1,-1.093610823E-1,7.839898765E-2
4.627073542E0,6.211090684E-1,-3.386685252E-1,5.771908760E-1
4.828348583E0,9.123688340E-1,-3.746052831E-2,3.981940150E-1
5.029622583E0,6.763684750E-1,5.666240454E-1,-1.092505977E-1
5.230896583E0,6.071121246E-2,2.127028406E-1,-2.865694761E-1
5.432171583E0,-5.497721210E-2,-7.093221694E-2,8.173243701E-2
5.633445583E0,-8.492758125E-2,-4.544528723E-1,-2.765325010E-1
5.834720583E0,3.579200804E-1,-3.605260253E-1,-7.242505997E-2
6.035995583E0,-1.044986621E-1,1.778625697E-1,-1.279812008E-1
6.237269583E0,-2.328771502E-1,7.756019235E-1,3.187421262E-1
6.438544583E0,-6.615540981E-1,6.530743241E-1,3.958232105E-1
6.639819583E0,-3.861992061E-1,1.626471877E-1,2.222088426E-1
6.841094792E0,-2.680169046E-1,-7.825489044E-1,2.897112668E-1
7.042369792E0,1.529118121E-1,-1.078221560E0,2.904427052E-1
7.243644792E0,-9.156856537E-1,-1.985187769E0,4.428985119E-1
7.444919792E0,-1.352389693E0,-1.417196512E0,3.492101729E-1
7.646194792E0,-8.680235147E-1,-4.708928466E-1,-1.088026613E-1
7.847471292E0,-3.326389790E-1,-3.070478514E-2,-5.587080121E-2
8.048746292E0,3.046728075E-1,3.064542413E-1,-8.817951381E-2
8.250022292E0,2.907490134E-1,-1.274852157E-1,-5.646607839E-3
8.451297292E0,5.389631391E-1,1.342241019E-1,-6.017209962E-3
8.652572292E0,3.588534892E-1,7.651885152E-1,2.804136276E-1
8.853847208E0,1.380973607E-1,3.251329362E-1,-3.400351405E-1
9.055122208E0,7.101415098E-2,-6.527112126E-1,-3.828160763E-1
9.256398208E0,-2.739157081E-1,-4.075360298E-1,5.012455955E-2
9.457673208E0,-6.970369071E-2,1.140725017E-1,1.982397586E-2
9.658948208E0,-9.783403575E-2,-2.824881077E-1,-2.317284495E-1
9.860223292E0,-3.602736294E-1,2.942663729E-1,-2.752955556E-1
1.006149829E1,-2.560895383E-1,3.730450571E-2,-4.275636971E-1
1.026277329E1,4.246242940E-1,-1.240065575E0,-4.907462597E-1
1.046404929E1,2.946671247E-1,-5.227239728E-1,-6.037985086E-1
1.066532429E1,-1.807775795E-1,-3.034229875E-1,-5.698080733E-2
1.086659979E1,2.671413720E-1,-3.482379764E-2,5.143360794E-2
1.106787479E1,4.265606105E-1,-3.105618954E-1,-2.887817621E-1
1.126915079E1,4.112893939E-1,-2.941350937E-1,-1.230983287E-1
1.147042579E1,3.146639327E-3,1.569680423E-1,-8.865246922E-2
1.167170179E1,-2.348810434E-1,4.474326968E-1,-2.418423742E-1
1.187297717E1,-5.169900656E-1,9.560570121E-1,1.944188476E-1
1.207425317E1,-9.626560211E-1,1.515342712E0,6.010706425E-1
1.227552817E1,-1.361978799E-1,1.811619997E0,5.114087462E-1
1.247680417E1,2.137620300E-1,1.190975666E0,2.832983136E-1
1.267807917E1,6.209865808E-1,-2.517037392E-1,4.322399795E-1
1.287935529E1,2.265016139E-1,2.403218448E-1,1.879963130E-1
1.308063029E1,-2.565813661E-1,-8.184484839E-1,-5.391404033E-2
1.328190629E1,-5.790904760E-1,-5.676245093E-1,1.615620404E-1
1.348318229E1,-3.868744075E-1,-2.503000200E-1,1.300362945E-1
1.368445829E1,-3.236149848E-1,-1.957583576E-1,-7.288112491E-2
1.388573392E1,4.215622321E-2,-1.861461550E-1,3.262626380E-2
1.408700992E1,5.420681089E-2,-4.114045948E-2,-7.769841701E-2
1.428828592E1,1.337537169E-1,2.122258097E-1,-2.168774307E-1
1.448956192E1,2.167972773E-1,-3.610344231E-2,-8.387068659E-2
1.469083892E1,1.101740822E-1,-1.190044545E-2,-3.220782056E-2
1.489211492E1,-8.484743536E-3,5.141640455E-2,-2.795991004E-1
1.509339092E1,4.056419432E-1,-2.791754007E-1,8.158984594E-3
1.529466792E1,5.306822658E-1,7.245591283E-1,-4.414743558E-2
1.549594392E1,3.352197260E-2,1.316546798E-1,-7.288376242E-2
1.569722092E1,-6.219905615E-1,-2.189766914E-1,1.888032407E-1
1.589849708E1,-1.013562202E0,8.591887951E-1,4.746507406E-1
1.609977408E1,-5.889331102E-1,6.341169477E-1,3.964518905E-1
1.630105008E1,-9.889906645E-2,4.637275338E-1,2.847371399E-1
1.650232708E1,5.922142044E-2,1.564817429E-1,3.853115737E-1
1.670360308E1,2.457403392E-1,-3.071987033E-1,1.642128527E-1
1.690487983E1,5.816464424E-1,-3.175823689E-1,2.560106814E-1
1.710615683E1,7.567332387E-1,-1.588112712E-1,-2.133844644E-1
1.730743483E1,4.614444971E-1,-2.388464510E-1,-1.911021322E-1
1.750871183E1,3.234501779E-1,-3.994299099E-2,-3.024653792E-1
1.770998883E1,2.751322687E-1,-5.771706253E-2,-6.311577559E-1
1.791126704E1,3.298329115E-1,1.824411303E-1,-6.163733006E-1
