"Time (s)","X (hPa)"
-5.398093334E-1,1.017232208E3
4.887936666E-1,1.017404785E3
1.517371667E0,1.017577362E3
2.545984667E0,1.018003311E3
3.574601667E0,1.018003311E3
4.603073667E0,1.017405472E3
4.746948667E0,1.017405472E3
5.699308667E0,1.017851028E3
6.651630667E0,1.017878571E3
7.604046667E0,1.017965393E3
8.556453667E0,1.018075180E3
9.508795667E0,1.018075180E3
1.046114067E1,1.017911987E3
1.141363667E1,1.017826843E3
1.236609267E1,1.017826843E3
1.331860667E1,1.017826843E3
1.427100067E1,1.017901840E3
1.522341367E1,1.017753525E3
1.617593067E1,1.017753525E3
1.712834267E1,1.017452240E3
1.808064767E1,1.017452240E3
1.903307867E1,1.017577362E3
1.998552967E1,1.017668762E3
2.093808567E1,1.017695389E3
2.189065967E1,1.017862396E3
2.284313867E1,1.017862396E3
2.379568767E1,1.017842865E3
2.474820767E1,1.017842865E3
2.570068367E1,1.017871704E3
2.665334767E1,1.017871704E3
2.760587067E1,1.017607040E3
2.855841767E1,1.017567673E3
2.951089667E1,1.017567673E3
3.046323067E1,1.017366867E3
3.141563267E1,1.017542572E3
3.236804967E1,1.017542572E3
3.332039767E1,1.017542572E3
3.427273767E1,1.017512741E3
3.522512867E1,1.017171097E3
3.617759467E1,1.017171097E3
3.713001967E1,1.017301102E3
3.808236267E1,1.017419815E3
3.903480667E1,1.017618713E3
3.998725667E1,1.017694321E3
4.093966067E1,1.017694321E3
4.189216867E1,1.017492752E3
4.284461967E1,1.017324219E3
4.379700167E1,1.017259064E3
4.474953567E1,1.017248611E3
4.570197467E1,1.017152634E3
4.665451067E1,1.017144852E3
4.760693967E1,1.017093124E3
4.855939267E1,1.017075958E3
4.951182467E1,1.017075958E3
5.046429567E1,1.017298813E3
5.141673967E1,1.017692413E3
5.236918767E1,1.017708740E3
5.332153167E1,1.017708740E3
5.427383967E1,1.017595978E3
5.522630767E1,1.017296143E3
5.617871867E1,1.017097778E3
5.713123367E1,1.016801147E3
5.808375567E1,1.016801147E3
5.903630467E1,1.016960983E3
5.998895067E1,1.016960983E3
6.094152867E1,1.017015991E3
6.189412867E1,1.017097931E3
6.284672667E1,1.017107620E3
6.379928267E1,1.017185059E3
6.475174267E1,1.017279282E3
6.570434067E1,1.017279282E3
6.665691867E1,1.017266541E3
6.760949167E1,1.017056427E3
6.856205967E1,1.016900330E3
6.951455667E1,1.016900330E3
7.046690867E1,1.016944809E3
7.141924267E1,1.017035065E3
7.237163067E1,1.017403717E3
7.332398967E1,1.017403717E3
7.427637767E1,1.017002029E3
7.522893167E1,1.016870651E3
7.618140867E1,1.016678314E3
7.713392567E1,1.016678314E3
7.808643567E1,1.016753845E3
7.903885267E1,1.016952972E3
7.999117967E1,1.016952972E3
8.094358967E1,1.016897354E3
8.189606867E1,1.016830215E3
8.284847767E1,1.016688766E3
8.380086867E1,1.016688766E3
8.475333867E1,1.016871109E3
8.570578567E1,1.016979523E3
8.665831667E1,1.016979523E3
8.761084267E1,1.016917648E3
8.856333967E1,1.016808167E3
8.951596167E1,1.016786194E3
9.046855167E1,1.016765671E3
9.142108767E1,1.016709137E3
9.237367867E1,1.016709137E3
9.332617367E1,1.016709137E3
9.427868367E1,1.016736450E3
9.523119767E1,1.016736450E3
9.618377567E1,1.016738358E3
9.713635967E1,1.016744919E3
9.808896167E1,1.016738358E3
9.904156267E1,1.016639862E3
9.999414567E1,1.016639862E3
1.009467597E2,1.016654053E3
1.018993157E2,1.016706619E3
1.028518517E2,1.016708755E3
1.038045177E2,1.016708755E3
1.047571087E2,1.016696320E3
1.057097107E2,1.016657486E3
1.066622957E2,1.016431961E3
1.076149327E2,1.016427765E3
1.085675897E2,1.016427765E3
